Name,rating,time_min
"The Gangster, the Cop, the Devil",6.9,109
The Sun Is Also a Star,5.7,100
Agent Sai Srinivasa Athreya,8.5,148
Descendants 3,6.7,106
The Traitor,7.2,145
Cinayet Süsü,7.3,112
Atlantics,6.8,106
Chopsticks,6.4,100
Beats,6.4,109
Extreme Job,7.1,111
Romulus & Remus: The First King,6.7,123
Kaappaan,6.5,166
Ek Ladki Ko Dekha Toh Aisa Laga,5.5,120
Ip Man 4: The Finale,7.5,105
Running with the Devil,5.4,100
Madhuraraja,7,147
A Madea Family Funeral,4.3,109
Love in Kilnerry,9.9,100
Fisherman's Friends,6.9,112
Dear Comrade,7.2,169
Avane Srimannarayana,8.2,174
Ujda Chaman,7.5,120
NGK,6,148
Synonyms,6.7,123
A Hidden Life,7.7,174
Surviving R. Kelly,7.6,360
Drive,2.4,147
Waves,8,135
Thadam,8.2,138
Eternal Code,6.3,105
Beanpole,7.2,130
Photograph,6.8,110
Les Misérables,7.7,102
Jay and Silent Bob Reboot,6.4,105
Ne Zha,7.7,110
The Russian Bride,5.9,101
Jarhead: Law of Return,7,103
Saand Ki Aankh,8.5,146
Crypto,5.6,105
Killerman,5.7,112
7 Kogustaki Mucize,8.3,132
Sonchiriya,7.5,143
Hostel Daze,9,159
The Confession Killer,7.5,240
After the Wedding,6.1,112
Don't Let Go,6,103
"I Love You, Now Die: The Commonwealth v. Michelle Carter",7.6,143
Unda,8.1,130
Thackeray,5.1,120
Turkish Ice-Cream,6.4,120
Tell No One,8.6,121
Lying and Stealing,5.2,100
An Officer and a Spy,7.3,132
The Turkey Bowl,7.7,120
Ghost Stories,4.2,144
Overcomer,6.4,119
A Score to Settle,4.5,103
Vinaya Vidheya Rama,3.3,146
Halka,8.8,120
The Operative,5.6,116
The Family,6.4,249
Elisa & Marcela,6.4,118
Piranhas,6.6,105
The Death of Dick Long,6.3,100
Virus,8.1,152
Who You Think I Am,6.9,101
Never Grow Old,5.8,100
Evaru,8.3,118
Panipat,6,165
The Collini Case,7.2,123
Gundala,7.5,123
Brother in Love,7.1,115
Oru Adaar Love,5.7,145
System Crasher,8.1,118
Why Cheat India,6,121
Majiji,7.2,154
Lucy in the Sky,4.6,124
While at War,7.4,107
Cep Herkülü: Naim Süleymanoglu,8.7,141
One Piece: Stampede,8.1,101
Belle Epoque,7.6,115
Invisible Life,8.1,139
Android Kunjappan Ver 5.25,8.6,140
Laal Kaptaan,7.3,155
Mamangam,7.8,157
Truth and Justice,9,149
Heroic Losers,7.7,116
4L,5.9,105
The Warden,7.4,100
NTR Kathanayakudu,5.7,169
Svaha: The Sixth Finger,6.2,122
"Berlin, I Love You",4.5,120
F2: Fun and Frustration,6.3,148
"Seven Worlds, One Planet",9.5,407
Little Joe,5.9,105
Just Mercy,6.4,136
Inside Man: Most Wanted,5.6,105
Variações: Guardian Angel,7.4,109
Cheat,6.7,181
Abigail,5.8,110
Exit,7.1,103
Love at Second Sight,7.1,117
Little White Lies 2,6.5,135
Rabid,5.1,107
Native Son,5.6,104
"So Long, My Son",7.7,185
Pavarotti,7.5,114
India's Most Wanted,4.4,123
Gang Leader,7.6,155
Uyare,8.1,125
Beats,7.3,101
The Huntress: Rune of the Dead,6.2,105
Rent: Live,6.7,134
Amundsen,6.3,125
9,7,149
Khandaani Shafakhana,4.9,136
Pati Patni Aur Woh,6.1,126
Notebook,6.8,115
Matthias & Maxime,6.8,119
Thanneermathan Dinangal,8.1,136
Ghost,8.5,130
Daniel Isn't Real,6,100
Brochevarevarura,8,138
Born a King,7.8,103
I Spit on Your Grave: Deja Vu,2.3,148
Walk. Ride. Rodeo.,6.4,100
Comali,7.1,143
For Sama,8.7,100
The Specials,7.5,114
Recep Ivedik 6,2.4,110
Kuzgun,7.9,120
Shanghai Fortress,4.2,107
Das perfekte Geheimnis,6.9,111
Backdraft II,4.7,101
Single Slipper Size - 7,8.8,120
Ardaas Karaan,9.1,140
Chandigarh Amritsar Chandigarh,7.6,107
The Weasel's Tale,7.3,129
Cold Case Hammarskjöld,7.7,128
General,3.8,145
Bull,8.7,105
The Mystery of Henri Pick,6.7,100
Mardaani 2,7.7,103
Oh Baby,7.4,161
The Man Without Gravity,5.8,107
Pailwaan,6.5,166
The Wild Goose Lake,6.9,113
Chitralahari,7.1,131
The Zoya Factor,4.3,134
Lorena,7.1,254
Crown Vic,6.3,110
Ishq,7.6,134
Friend Zone,7.3,118
Valhalla,7.2,105
The Christ Slayer,4.8,115
Marjaavaan,3.9,152
The Divine Fury,6.1,129
Mr. KK,5.7,121
Corpus Christi,8,115
Text,6.7,132
A Tale of Three Sisters,7.4,108
The Oscars,5.2,156
Junglee,5.3,115
Cosmos,5.3,128
First Love,7.1,108
Luca,7.6,151
Heza,7.6,111
Martin Eden,7,129
Kavaludaari,8.1,143
The Passage,7.1,150
The Lodge,6.7,100
iSmart Shankar,5.8,140
Wish Man,7.1,107
Magamuni,8,156
Varda by Agnès,7.9,115
The Bygone,6.6,115
Mikhael,5,150
Better Days,7.5,135
Hercai,7.2,120
Above the Shadows,5.8,111
The Truth,6.6,106
What's My Name: Muhammad Ali,8.5,165
Mr. Jones,7.2,141
Who Killed Garrett Phillips?,7.5,186
Divine Love,6.3,101
The Demonologist,5.9,100
The Directive,6.3,113
Seetharama Kalyana,8,155
Athiran,6.8,135
Amsterdam Vice,6.8,113
Damayanthi,9.6,161
Pinocchio,6.9,125
Vellai Pookal,7.3,122
Breakdown Forest - Reise in den Abgrund,7.3,131
House Arrest,5.6,104
Woodstock,7.6,106
18am Padi,6.2,160
Vinci Da,7.3,117
Trick,5,100
Sibyl,6,100
Kanchana 3,4.2,164
The Secret Men Club,6.6,105
Krasue: Inhuman Kiss,6.6,122
Detention,7.5,102
June,7.4,141
