Name,rating,time_min
After,5.4,105
Kalki,4.7,141
Stairs,6.5,100
Saturday Fiction,5.7,126
Ich war noch niemals in New York,5.7,128
Step Up China,3.4,100
PM Narendra Modi,3.3,136
Thambi,7.1,149
Au nom de la terre,6.8,103
Queen of Hearts,7.3,127
The Last,4.2,123
Albert Pinto Ko Gussa Kyun Aata Hai?,5.1,100
Dear Comrade,7.2,169
The Angel of Auschwitz,2.3,101
Uykusuzlar Kulübü,8,240
WWE: Extreme Rules,6.9,234
Manje Bistre 2,5.8,125
Love on the Menu,6.9,120
Gundu,7.8,141
El Camino: A Breaking Bad Movie,7.4,122
Bring Me Home,6.6,108
Das perfekte Geheimnis,6.9,111
Clemency,6.5,113
UFC 241: Cormier vs. Miocic,8.5,180
Sagaa,6.1,115
Scare Package,6.9,103
Back Home,6,105
Baba,9.2,122
Hold On,7.9,106
Cats,2.8,110
Hippi,5.1,143
Oru Adaar Love,5.7,145
Variações: Guardian Angel,7.4,109
 The Last Drive-In with Joe Bob Briggs,8.8,142
The Spy,6.9,110
The Beast,5.3,130
Farewell to the Night,6.3,104
Chitralahari,7.1,131
Devaki,6.9,129
Chicken Curry Law,5.5,127
Hikaru Utada: Laughter in the Dark Tour 2018,8.6,141
Black Raven,8.2,110
Midnight Diner,4.9,103
Text,6.7,132
Immenhof - Das Abenteuer eines Sommers,5.8,105
The Personal History of David Copperfield,5.6,119
Dogs Don't Wear Pants,7.3,105
Executions,3.4,100
Coup 53,7.8,118
The Journalist,6.4,113
7 Kogustaki Mucize,8.3,132
Crazy Alien,5.8,116
Mio fratello rincorre i dinosauri,6.8,101
Don't Stop Me Now,6,100
His Father's Voice,5.4,105
Great Poetry,6.2,123
Ölü Yatirim,8.7,106
"Spring, Again",6.5,104
Family History,8.1,125
Crypto,5.6,105
Fast & Furious Presents: Hobbs & Shaw,6.5,137
Chorar de Rir,5.9,104
WWE Crown Jewel,5.5,216
We Are Champions,7.7,118
Bombshell,6.7,109
National Theatre Live: Small Island,8.7,210
The Last Summer,5.5,109
Finals,7.8,122
Ghost,8.5,130
Season of Love,8.1,105
Goyenda Junior,6.6,117
Munda Faridkotia,5.9,131
Allt jag inte minns,6.7,176
Water,2.8,100
After the Wedding,6.1,112
Woman,7.9,105
No Filter,6.2,100
The Lady Improper,4.9,108
The Purple Mist,6.8,106
Vivere,5.9,103
Gone Kesh,6.8,110
The Shiny Shrimps,6.5,103
Color Out of Space,6.4,111
Star Wars: Episode IX - The Rise of Skywalker,6.9,142
Badla,7.9,118
Pilgrim's Progress,5.2,108
Çocuk,5,120
Sefirin Kizi,6.4,120
Break Free: Two People. Two Years. One Dream,5.4,125
De De Pyaar De,6.6,135
And the Birds Rained Down,8.2,127
The Panti Sisters,7,108
Ratnakar,6.9,116
Synonyms,6.7,123
Modalità aereo,5.6,100
She's Missing,3.9,100
Hearts and Bones,7.1,111
Dolceroma,5.7,105
Mestari Cheng,7.3,114
College Behind Bars,7.9,222
