Name,rating,time_min
Porinju Mariyam Jose,7,148
The Wonderland,6,116
Wie gut ist deine Beziehung?,5.7,111
Fisherman's Friends,6.9,112
Cirku Fluturues,4,115
Toni Kroos,6,113
"Socorro, Virei uma Garota!",5.3,110
Saga of Tanya the Evil - The Movie,7.6,115
NXT UK TakeOver: Blackpool,7.8,159
The Art of Racing in the Rain,7.5,109
Perfect Nanny,6.2,100
Malaal,5.7,153
Lev Yashin. The Dream Goalkeeper,6.2,120
Tony,8.6,124
Angel Has Fallen,6.4,121
Tolkien,6.8,112
No Safe Spaces,7.8,100
Panipat,6,165
The Intruder,5.5,102
Wish Man,7.1,107
Noblemen,5.7,108
Vellai Pookal,7.3,122
Auerhaus,6,104
The Last Right,7.5,106
A Madea Family Funeral,4.3,109
Liberté,4.7,132
The Translators,6.7,105
"Where'd You Go, Bernadette",6.5,109
Marudhar Express,5.8,106
Vinaya Vidheya Rama,3.3,146
Fourmi,6.6,105
"WWE TLC: Tables, Ladders & Chairs",5.6,192
My Online Valentine,7.3,102
Mr. & Ms. Rowdy,4.7,146
Daal Chaawal,7.1,120
Top End Wedding,6.2,113
A City Called Macau,5.4,120
Underdog,5.7,116
Badla,7.9,118
Irupathiyonnaam Noottaandu,3.6,163
Hit & Run,6.8,114
Don't F**k with Cats: Hunting an Internet Killer,8.2,187
We Are Legends,5.1,108
School Life,6.8,111
By Quantum Physics: A Nightlife Venture,6.5,120
Baaji,7.1,132
The German Lesson,7.4,130
Maria's Paradise,6.4,110
Windows on the World,8.4,107
Dil Diyan Gallan,6.9,122
Gutterbee,7.2,107
Nenjamundu Nermaiyundu Odu Raja,6.1,128
Konttho,7.8,144
Daaka,7.6,136
Manmadhudu 2,4.8,155
Pokémon Detective Pikachu,6.6,104
Natpe Thunai,6.5,154
Notebook,6.8,115
Overcomer,6.4,119
The Best of Dorien B.,7.1,107
 American Masters,8.6,115
The Naked Wanderer,5.9,101
Dragon Quest: Your Story,4.3,103
From Miyamoto To You,8.1,129
Made in Abyss: Journey's Dawn,7.1,139
Natasaarvabhowma,7,157
The Golden Glove,6.7,115
A1,5,109
Incitement,7.5,123
Aga's House,9,107
Iwane: Sword of Serenity,6.4,121
"Oh, Ramona!",4.9,109
Special Actors,6.8,119
Marighella,3,155
The Blood of God,8.8,127
Killerman,5.7,112
The Giant,5.5,100
Svaha: The Sixth Finger,6.2,122
The 61st Annual Grammy Awards,5.4,164
The Money,5.5,118
Upin & Ipin: The Lone Gibbon Kris,8,100
Bring The Soul: The Movie,7.8,103
Sillu Karuppatti,8.9,153
The Cave,8.3,107
Antigone,8,109
Evvarikee Cheppoddu,7.4,133
The Mortuary Collection,7.6,108
June,7.4,141
The Disappearance of the Millbrook Twins,6,120
Iruttu,7.2,133
But Beautiful,6.8,116
The Professor and the Madman,7.3,124
A Witness Out of the Blue,6,104
Ask Aglatir,6.3,120
The Chronicle Mysteries: The Wrong Man,6.9,120
Depraved,5,114
LSS,6.5,104
Stitches,7.2,105
Arest,7.6,126
The Immortal Wars: Resurgence,2.4,112
