Name,rating,time_min
National Theatre Live: Small Island,8.7,210
Fagara,7.1,120
Arjun Suravaram,8,108
Synonyms,6.7,123
LKG,6.9,124
Vijayaba Kollaya,6.9,136
The Gambler,5.7,121
Perfect Nanny,6.2,100
C'è tempo,5.6,107
Rashid & Rajab,7,105
Rameshan Oru Peralla,7.8,120
Mucize Doktor,7.7,120
Dhilluku Dhuddu 2,5.3,119
Raja Vaaru Rani Gaaru,8.5,133
Jackpot,5.3,142
Baby Dolls,7.2,127
The Disappearance of the Millbrook Twins,6,120
Chicken Curry Law,5.5,127
Blank,6.1,107
Çocuk,5,120
Blame Game,6.2,105
Kolaiyuthir Kaalam,2.6,100
Negative Numbers,8.3,110
Born a King,7.8,103
Uriyadi 2,7.3,119
The (Silent) War,6.3,121
Hailey Dean Mysteries: A Prescription for Murder,7.2,120
A Thin Line,8.5,104
Rent: Live,6.7,134
Romulus & Remus: The First King,6.7,123
A Long Goodbye,7,127
Gloria Mundi,5.9,106
Invisible,7,102
The Kingmaker,7.3,101
Sdsdsdsdsdsds,6.8,600
Ford v Ferrari,8.3,152
O Amor Dá Trabalho,5.9,100
Kardec,6.2,110
Puppy,5.2,109
Soothrakkaran,4.5,147
Terlalu Tampan,7.1,106
Tusta,8.1,109
"Someone, Somewhere",6.9,110
Relativity,6.9,111
Dorasaani,6.2,130
Biography: The Trump Dynasty,6.4,258
The Gandhi Murder,6.6,138
Where We Belong,7.4,130
Panther,5.6,127
Majiji,7.2,154
Und tot bist Du - ein Schwarzwaldkrimi,5.9,180
Sher Dil,6.9,148
Capital in the Twenty-First Century,7.1,103
Bye,6.5,111
Terminator: Dark Fate,6.5,128
Jojo Rabbit,8,108
Patham Classile Pranayam,9.5,121
Saturday Fiction,5.7,126
Lakshmi's NTR,7.1,152
The Art of Self-Defense,6.7,104
Black Money,6.5,113
Thackeray,5.1,120
How to Train Your Dragon: The Hidden World,7.5,104
Cherry Blossoms and Demons,5.5,115
Twice The Dream,7.8,101
The Warden,7.4,100
Noelle,6.3,100
After,5.4,105
Bornoporichoy: A Grammar Of Death,5.1,122
Devarattam,4.1,140
Dark Waters,7.6,126
Zhagaram,6.6,113
Sesinde Ask Var,5.3,145
Pahokee,7.9,110
Drive,2.4,147
The Souvenir,6.5,120
Snow Flower,6.5,125
Pull,3,105
Killer Reputation,4.8,120
Fabulous,7.4,112
Adutha Chodyam,9.1,112
Thaala,7.6,120
Non ci resta che il crimine,6,102
Action,4.3,158
Turkish Ice-Cream,6.4,120
Mentada de Padre,5.9,102
Goyenda Junior,6.6,117
Crown Vic,6.3,110
Bento Harassment,7.3,106
Intrigo: Dear Agnes,4.9,100
Waves,8,135
Bibaho Obhijaan,3.9,117
Avant qu'on explose,6.7,108
Alma de Héroe,7.5,120
Burra katha,5.2,150
UFC 241: Cormier vs. Miocic,8.5,180
Roast José Castelo Branco,5,120
Afili Ask,6.5,120
Ninnu Veedani Needanu Nene,5.9,123
Khandaani Shafakhana,4.9,136
