Name,rating,time_min
Chhalawa,3.2,117
Shibu,9.9,145
College Behind Bars,7.9,222
Inside Man: Most Wanted,5.6,105
Homme Fatale,6.2,110
Doctor Sleep,7.5,152
Cosmic Candy,5.7,100
Tall Girl,5.3,101
Synapses,6.9,116
The Personal History of David Copperfield,5.6,119
The Juror,6.8,114
Balloon,6.9,102
Upin & Ipin: The Lone Gibbon Kris,8,100
Kathy Griffin: A Hell of a Story,5.5,106
Mucize Ask,6.8,129
Mantan Manten,7.5,102
All Elite Wrestling: Double or Nothing,8.6,180
Vitals,4.3,107
Jeritan Malam,6.7,119
Software Sudheer,8.9,125
