Name,rating,time_min
Midnight Diner,4.9,103
Joni 75: A Birthday Celebration,7.7,128
A Sun,8.1,156
Is She Raju?,4.9,155
Ravening,8.5,107
Get Her... If You Can,5.4,102
Who You Think I Am,6.9,101
One Day: Justice Delivered,6.5,124
Wish Man,7.1,107
Guvercin,6,120
When the Moon Was Full,6.7,131
Fisherman's Friends,6.9,112
Ottam,7.7,120
Just 6.5,7.9,131
"Oh, Ramona!",4.9,109
Gemini Man,5.7,117
Kaale Dhande,8.7,240
Extracurricular,6.5,101
The Dude in Me,6.7,122
Bhai - Vyakti Ki Valli,8.4,153
Podhu Nalan Karudhi,4.5,119
Love at Second Sight,7.1,117
Earthquake Bird,5.9,107
Tarpan: The Salvation,8.6,104
Pretty Boys,6.9,100
Boi,4.8,110
Thaala,7.6,120
Ossan's Love: Love or Dead,6.6,114
Seetharama Kalyana,8,155
Kanchana 3,4.2,164
The Wandering Earth,6,125
Abou Leila,6,135
Saili,8.5,140
Capital in the Twenty-First Century,7.1,103
Us,6.9,116
The Immortal Wars: Resurgence,2.4,112
Leke,5.6,120
Munda Faridkotia,5.9,131
Madras Beats,7.6,131
Censored,7.5,100
Little,5.4,109
A Beautiful Day in the Neighborhood,7.7,109
Mudda 370 J&K,9.5,132
The Room,6,100
UFC 244: Masvidal vs. Diaz,7.7,180
Bau Na Vichaar,7.9,151
The Forest of Love,6.5,151
Turkish Ice-Cream,6.4,120
Operation Cobra,3.6,126
 Nova,7.2,112
Katha Sangama,8.4,156
Czarny Mercedes,5.1,110
Judy,7,118
Another Cinema Snob Movie,6.3,109
A Very Country Wedding,5.7,120
Ikar. Legenda Mietka Kosza,6.3,110
Mundina Nildana,8.9,106
Babyteeth,7.1,120
Order Order Out of Order,6.2,134
The Bygone,6.6,115
Christopher Titus: Amerigeddon,6.8,100
Sweetness in the Belly,6.2,110
Nadhoo Khan,4.4,136
Code Geass: Lelouch of the Re;Surrection,7.6,112
Les Misérables,7.7,102
Kandasamys: The Wedding,7,127
The Great War of Archimedes,6.9,130
Country Music: Live at the Ryman - A Concert Celebrating the Film by Ken Burns,8.6,115
Little Q,6.2,107
Adoring,6.7,108
AraÃ±a,6.7,105
Cheer Boys,6.5,118
Winter After Winter,6.4,110
 Critical Role,8.3,248
"I Was at Home, But",5.3,105
Native Son,5.6,104
The Death of Dick Long,6.3,100
Rumah Kentang: The Beginning,5.2,102
 30 for 30,7.6,102
U311 Cherkasy,7.9,102
The Son,4.7,106
The Traitor,7.2,145
Little Love Song,6.8,123
Bana Bir Ask Sarkisi Söyle,8.3,116
Five Feet Apart,7.2,116
Homme Fatale,6.2,110
Photograph,6.8,110
Just a Stranger,7,117
Me llevarás en ti,6.1,125
Sons of Denmark,6.6,123
Stained,3.3,102
The Turkey Bowl,7.7,120
When They See Us,9,296
Killing Sarai,6.3,106
Omar And Us,5.6,104
Little Women,8.3,135
Gli uomini d'oro,6.5,110
Mitin Mashi,7.8,153
Dumbo,6.3,112
The Body Remembers When the World Broke Open,6.7,105
