Name,rating,time_min
Ferhat ile Sirin,7.3,120
WWE: Extreme Rules,6.9,234
No Longer Human,6.7,120
Fourmi,6.6,105
Backdraft II,4.7,101
Measure for Measure,7.9,107
Who Killed Garrett Phillips?,7.5,186
Friends 25th: The One With The Anniversary,3.1,105
No Safe Spaces,7.8,100
Masal Satosu: Sihirli Davet,4.2,100
Our Wonderful Lives,6.8,117
The Zoya Factor,4.3,134
Fagara,7.1,120
Theresa & Allison,8.2,120
Hope,8,126
The Kingmaker,7.3,101
The German Lesson,7.4,130
Soeurs d'armes,5.7,112
Secrets in the Sky: The Untold Story of Skunk Works,7.6,120
Two Blue Stripes,8.1,113
