Name,rating,time_min
WWE Super Show-Down,4.8,230
Why Cheat India,6,121
Mister T.,6.4,103
The Ruthless,6.3,111
Dirty Sexy Saint,8.2,104
The Collini Case,7.2,123
Au nom de la terre,6.8,103
Hit Me Anyone One More Time!,6.4,127
 The Last Drive-In with Joe Bob Briggs,8.9,126
Collision,6.8,117
Turned Out,6.7,131
Measure for Measure,7.9,107
438 Days,7.4,124
 The Last Drive-In with Joe Bob Briggs,9.3,133
Blank,6.1,107
More Beautiful for Having Been Broken,4.6,111
WWE Crown Jewel,5.5,216
National Theatre Live: Small Island,8.7,210
Exile,6.8,110
Nun's Deadly Confession,3.2,116
Crown Vic,6.3,110
706,5.3,120
Perfect Feet,7.6,101
Ikkayude Shakadam,4.2,100
Nalpathiyonnu,7.2,134
Vantha Rajavathaan Varuven,3.8,154
Only Cloud Knows,6.2,132
War of Art,7.4,102
Enai Noki Paayum Thota,6,153
 Critical Role,7.9,248
To the Ends of the Earth,6.6,120
Money,5.7,115
I'm No Longer Here,7.4,105
Jumanji: The Next Level,7,123
True Justice: Bryan Stevenson's Fight for Equality,7.9,102
The Confession Killer,7.5,240
Love Them All,5.3,100
A Long Goodbye,7,127
Lillian,7.2,130
Bombshell,6.7,109
Shibu,9.9,145
Baby Dolls,7.2,127
63 Up,8.2,180
Alita: Battle Angel,7.3,122
The Dirt,7,107
Maria's Paradise,6.4,110
Wedding Cha Shinema,7.4,137
Eminence Hill,5,100
The Captain,6,111
Jesters: The Game Changers,6.9,107
Eternal Code,6.3,105
Rabid,5.1,107
Under World,6.1,160
The Movies,7.9,120
Rustum,5.5,128
Lying and Stealing,5.2,100
Kettiyollaanu Ente Maalakha,8,135
Terlalu Tampan,7.1,106
A mano disarmata,6,107
Kanne Kalaimane,6.4,128
Peel,6.1,101
9,7,149
Çocuk,5,120
Leke,5.6,120
Disappearance at Clifton Hill,7,100
Krasue: Inhuman Kiss,6.6,122
NGK,6,148
Katha Sangama,8.4,156
Liberi di scegliere,6.2,126
For Sama,8.7,100
When the Moon Was Full,6.7,131
Bastaard,6.3,104
#Jowable,7.9,104
Hope,8,126
Ottam,7.7,120
Dem Horizont so nah,6.8,109
The Brave,5,103
Tennis Buddies,5.7,153
Christmas Jars,7.5,110
Fly Me to the Saitama,6.7,106
The Traitor,7.2,145
The Gandhi Murder,6.6,138
This is Not Berlin,6.8,115
Atlantics,6.8,106
Shesh Theke Shuru,4.7,140
Gully Boy,8.2,153
Breakthrough,6.2,116
Harriet,6.3,125
UFC 245: Usman vs. Covington,7.6,180
"Mektoub, My Love: Intermezzo",3.9,212
Kandasamys: The Wedding,7,127
Zengin ve Yoksul,6.2,120
Sons of Rizk 2,7.4,103
Rocketman,7.4,121
Invisible Life,8.1,139
Glass,6.7,129
Rakshasudu,8.4,122
Mardaani 2,7.7,103
Debout sur la montagne,6.4,105
The Inventor: Out for Blood in Silicon Valley,7.1,119
