Name,rating,time_min
Burning Ghost,6.3,104
Lying and Stealing,5.2,100
Bigil,7.1,179
Tunnelen,7,105
Dosti ke side effects,3.7,130
Where Is The Venkatalakshmi,4.6,139
How to Train Your Dragon: The Hidden World,7.5,104
Lucy in the Sky,4.6,124
Chronology,6.2,117
Just 6.5,7.9,131
Trick,5,100
WWE Hell in a Cell,4.8,197
Manson: Music From an Unsound Mind,7,104
Heimat is a Space in Time,7,218
Pariban: Idola dari Tanah Jawa,7.3,101
Roast Ljubomir Stanisic,6.6,120
Hippi,5.1,143
Little Women,8.3,135
Coup 53,7.8,118
Dream Girl,7.2,132
Solid Gold,5.5,140
Money Trap,6,121
The Room,6,100
Avane Srimannarayana,8.2,174
Why Cheat India,6,121
Running with the Devil,5.4,100
NTR Kathanayakudu,5.7,169
West of Liberty,6.1,261
My Mom is a Character 3,7.4,111
Chernobyl: Zona otchuzhdeniya,4.7,101
Unda,8.1,130
Greed,5.7,104
Oleg,6.8,108
The Great War of Archimedes,6.9,130
Kavaludaari,8.1,143
Crescendo,6.6,102
The Last Black Man in San Francisco,7.4,121
Mao Zedong 1949,4.7,140
Jiivi,7.9,122
Woodstock,7.6,106
Inmate Zero,6.9,106
Serenity,5.3,106
The Young Cannibals,3.6,100
Always Say Yes,7.1,104
Total Dhamaal,4.3,130
Maria's Paradise,6.4,110
The Tashkent Files,7.9,134
Frankie,5.5,100
NGK,6,148
The Gandhi Murder,6.6,138
Gemini Man,5.7,117
Adults in the Room,5.8,124
The Singer,5.4,107
Hellaro,9,121
Ayushmanbava,7.4,145
Out Stealing Horses,6.8,123
Murder in the Bayou,7.2,272
Bir Aile Hikayesi,7.1,120
Saga of Tanya the Evil - The Movie,7.6,115
 Every Frame A Pause,8.5,227
Gemusetto Machu Picchu,7.9,257
By Quantum Physics: A Nightlife Venture,6.5,120
Talking the Pictures,7.6,126
Uyare,8.1,125
Hope Gap,7.3,100
Abstruse,8.6,117
Letters from Antarctica,8,110
The Demonologist,5.9,100
Beats,7.3,101
100% Kadhal,4.5,151
And the Birds Rained Down,8.2,127
Phil,5.5,106
Student of the Year 2,2.5,146
"Tora-san, Wish You Were Here",7,115
Dear Comrade,7.2,169
Tottaa Pataaka Item Maal,8,107
1917,8.6,119
Rose Plays Julie,6.8,100
Ujda Chaman,7.5,120
Knuckle City,7.2,124
Junglee,5.3,115
Amar,5.4,132
And All Their Men,7.5,108
Captive State,6,109
Bird Talk,5.5,138
Turned Out,6.7,131
Late Night,6.5,102
Capitani,8.5,312
Mindo Taseeldarni,6.2,121
Noelle,6.3,100
Sister of the Bride,6,120
All My Loving,6.6,116
Flatland,5.9,117
Spider-Man: Far from Home,7.6,129
12 Suicidal Teens,5.7,117
Crown Vic,6.3,110
The Treasure 2,7.3,150
Vennila Kabaddi Kuzhu 2,5.2,142
Petromax,5.6,128
June,7.4,141
