Name,rating,time_min
Smile Please,7.8,132
Ganagandharvan,6.8,140
Ulta,9.6,123
Love at Second Sight,7.1,117
Fast & Furious Presents: Hobbs & Shaw,6.5,137
A Dose of Happiness,8.5,100
Samurai Marathon 1855,6.3,103
Sound! Euphonium the Movie - Our Promise: A Brand New Day,7.9,110
Noah Land,7.7,109
Ruler,4.4,130
Devi 2,3.7,125
Nalpathiyonnu,7.2,134
Hercai,7.2,120
Walpurgisnacht,6.1,180
Mehandi Circus,7.6,135
Danger Close,6.9,118
Thirty,6.3,115
Masal Satosu: Sihirli Davet,4.2,100
Dhilluku Dhuddu 2,5.3,119
Sheep Without a Shepherd,6.7,112
Avengers: Endgame,8.5,181
Murder in the Bayou,7.2,272
Cold Pursuit,6.2,119
The Beast,5.3,130
The Zoya Factor,4.3,134
Driving Licence,7.7,135
 Transparent,6.5,102
Suursuz Ask,7.9,108
Wira,7.1,109
Gay Chorus Deep South,7,100
Are You Afraid of the Dark?,7.2,132
The Traitor,7.2,145
Rumput Tetangga,7.8,104
Oleg,6.8,108
The Last Black Man in San Francisco,7.4,121
The Faceless Man,5.1,106
Surviving R. Kelly: The Impact,6,120
The Door,6.6,110
The Death and Return of Superman,6.6,166
Who Killed Garrett Phillips?,7.5,186
O fim do Mundo,6.9,107
Daniel Isn't Real,6,100
Sweater,7.3,118
Pain and Glory,7.7,113
Uriyadi 2,7.3,119
Kataksha,7.6,100
Fighting with My Family,7.1,108
The Forest of Love,6.5,151
Tomiris,8.2,156
Mio fratello rincorre i dinosauri,6.8,101
Head Over Heels 3,5.2,104
Vurgun,5.2,120
Adan,7.7,102
Unbroken,9,110
Curiosa,5.4,107
Aasta täis draamat,8.4,106
No Longer Human,6.7,120
Why Cheat India,6,121
Gubbi Mele Bramhastra,5.2,143
Operation Gold Fish,6.2,127
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,7.3,100
Doctor Sleep,7.5,152
Mask,3.9,131
Futro z misia,5.8,102
PM Narendra Modi,3.3,136
Judy & Punch,6.3,105
Dragon Quest: Your Story,4.3,103
Virus,8.1,152
 Critical Role,8.1,224
Killing Sarai,6.3,106
One Piece: Stampede,8.1,101
Junglee,5.3,115
Marudhar Express,5.8,106
The Cure: Anniversary 1978-2018 Live in Hyde Park,8.5,137
 Country Music,8.5,112
Chemistry of Kariyappa,7.3,128
Noblemen,5.7,108
Ardab Mutiyaran,7.2,138
Mr. & Ms. Rowdy,4.7,146
Get Her... If You Can,5.4,102
Ikar. Legenda Mietka Kosza,6.3,110
My Name Is Sara,7.3,111
Crazy Alien,5.8,116
All Elite Wrestling: Double or Nothing,8.6,180
"River, El Más Grande Siempre",7.3,100
LKG,6.9,124
 The Unbridled Series,5,158
Revansch,8,100
Thamaasha,7.9,120
WWE: Extreme Rules,6.9,234
Mat Biec,7.5,117
Connect,5.1,104
A Holiday Boyfriend,5.2,105
Holiday for Heroes,7.1,120
Prassthanam,5.8,141
Collective,8.5,109
The Wild Goose Lake,6.9,113
The Brave,5,103
The Glass Room,5.4,104
Made in Abyss: Journey's Dawn,7.1,139
