Name,rating,time_min
ECCO,4.9,123
Rose Plays Julie,6.8,100
Firebrand,5.1,116
The Translators,6.7,105
Backdraft II,4.7,101
Upstarts,6.7,112
Planeta Singli 3,5.4,101
Snow Flower,6.5,125
One Night,6.9,123
NGK,6,148
Roger Waters - Us + Them,8,135
Katha Sangama,8.4,156
"River, El Más Grande Siempre",7.3,100
K-13,6.1,103
The Zoya Factor,4.3,134
Kimse Bilmez,6.5,120
Between Pain and Amen,8.3,125
Eggnoid: Love & Time Portal,6,102
A Beautiful Day in the Neighborhood,7.7,109
Suursuz Ask,7.9,108
Kalki,4.7,141
Aakashaganga II,3.2,142
"The Gangster, the Cop, the Devil",6.9,109
The Wonderland,6,116
Mei,6.2,130
 Country Music,9,111
They Say Nothing Stays the Same,6.7,137
Aman Reis Duymasin,5.6,100
Surviving R. Kelly: The Impact,6,120
Tunnelen,7,105
Masal Satosu: Sihirli Davet,4.2,100
Die Goldfische,6.6,111
Trace of Blood,6.5,125
What Men Want,5.2,117
Rumah Kentang: The Beginning,5.2,102
"Hatsukoi: Otosan, Chibi ga Inaku Narimashita",6.5,104
Zenská na vrcholu,4.9,107
100,6.6,141
Natpuna Ennanu Theriyuma,5.8,123
"I Was at Home, But",5.3,105
"Psychomagie, un art pour guérir",6.8,100
"Cheer Up, Mr. Lee",7.2,111
Tennis Buddies,5.7,153
Mamangam,7.8,157
Otherhood,6,100
Maleficent: Mistress of Evil,6.8,119
Yowis Ben 2,7.4,109
Aasta täis draamat,8.4,106
 Country Music,8.5,112
WWE Super Show-Down,4.8,230
Valley of the Gods,6.2,131
Frankie,5.5,100
Between Maybes,6,107
Kuntilanak 2,4.6,100
WWE Money in the Bank,6.5,219
Lisaa,3.4,111
Upin & Ipin: The Lone Gibbon Kris,8,100
Miss & Mrs. Cops,5.6,107
Terlalu Tampan,7.1,106
Official Secrets,7.3,112
NXT UK TakeOver: Blackpool,7.8,159
Vivre à 100 milles à l'heure,7,103
The Conquest of Siberia,5.6,108
The Corrupted,5.6,103
Crazy Romance,6.7,115
My Thoughts Are Silent,8.2,104
Infernal Khorugv or Cossack Christmas,9,110
KD,9.4,123
Faustina: Love and Mercy,6.2,107
A Score to Settle,4.5,103
Motichoor Chaknachoor,5.9,150
Saturday Fiction,5.7,126
Danger Close,6.9,118
To Live to Sing,6.8,105
Philophobia,8.2,125
ASHWAMEDHAM,8.5,127
Portugal Não Está à Venda,4.6,120
Moonlit Winter,7.4,105
Simba,5.7,131
The Son,4.7,106
Portrait of a Lady on Fire,8.3,121
The Dead Don't Die,5.5,104
Jhalle,7.4,129
Pain and Glory,7.7,113
Sye Raa Narasimha Reddy,7.6,167
Tremors,7,107
Dil Diyan Gallan,6.9,122
Terminator: Dark Fate,6.5,128
Bigil,7.1,179
Les Misérables,7.7,102
Wine Country,5.4,103
The Rodriguez and the Beyond,4.3,116
Nenu Lenu,7.7,118
WWE Hell in a Cell,4.8,197
Incitement,7.5,123
Vijay Superum Pournamiyum,7.2,135
This Is Not a Movie,7.5,106
Nenjamundu Nermaiyundu Odu Raja,6.1,128
Enigma,8.6,100
Bird Talk,5.5,138
