Name,rating,time_min
No soy tu mami,4.8,108
Mask,3.9,131
The Death of Dick Long,6.3,100
No. 7 Cherry Lane,5.2,125
Mr. Majnu,6,145
The Truth,6.6,106
A Walk with Grace,4.5,100
12 Suicidal Teens,5.7,117
The Tragedy of King Richard the Second,7.3,150
Wedding at Graceland,6,120
Judgementall Hai Kya,6,121
Proxima,6.9,107
Hellboy,5.2,120
Vellai Pookal,7.3,122
Restaurant from the Sky,7,126
"Everton, Howard's Way",9.4,105
Swoon,6.1,104
Thottappan,7.5,140
Guest of Honour,5.4,105
Dengi Dengine,7.7,120
The Cure: Anniversary 1978-2018 Live in Hyde Park,8.5,137
India's Most Wanted,4.4,123
Hitler's Secret Tunnels,4.4,121
Sober Driver,4.1,105
Iwane: Sword of Serenity,6.4,121
Motherless Brooklyn,7.1,144
Ambili,7.1,140
Measure for Measure,7.9,107
Mushkil,5,130
No One Saw a Thing,6.2,258
The Viking War,5.8,103
A Hairy Tale,6.4,100
Daniel Isn't Real,6,100
Christmas Jars,7.5,110
Crossword Mysteries: A Puzzle to Die For,6.8,120
Sindhubaadh,5.1,133
Enai Noki Paayum Thota,6,153
Mokalik (Mechanic),6.7,100
UFC 245: Usman vs. Covington,7.6,180
Knuckle City,7.2,124
Oh Mercy!,6.2,119
 Every Frame A Pause,7.6,273
Serenity,5.3,106
No Quiero Ser Tu Hermano,3,100
Cep Herkülü: Naim Süleymanoglu,8.7,141
Malaal,5.7,153
Union Bound,3.9,103
Wie gut ist deine Beziehung?,5.7,111
The Art of Racing in the Rain,7.5,109
From Miyamoto To You,8.1,129
Spread Your Wings,7.4,113
School Life,6.8,111
The Dead Don't Die,5.5,104
Short Circuit,7.3,126
Pasmerkti. Pajurio dziazas,6.3,102
Judy & Punch,6.3,105
The Mystery of Henri Pick,6.7,100
Zhagaram,6.6,113
Busby,6.7,102
My Zoe,6.8,100
Agent Sai Srinivasa Athreya,8.5,148
A City Called Macau,5.4,120
Vinci Da,7.3,117
Kaalidas,7.2,126
The (Silent) War,6.3,121
Pretty Boys,6.9,100
 Country Music,8.4,113
Hero,6.8,164
Bird Talk,5.5,138
Imperfect,8.1,113
Joni 75: A Birthday Celebration,7.7,128
Jessie,7.1,106
Sur Sapata,7.9,128
Suttu Pidikka Utharavu,6.2,136
Brave Father Online: Our Story of Final Fantasy XIV,7.7,114
El Camino: A Breaking Bad Movie,7.4,122
Mehandi Circus,7.6,135
Snow Flower,6.5,125
The Informer,6.5,113
 30 for 30,7.6,102
Sweethearts,6,107
Mio fratello rincorre i dinosauri,6.8,101
Sheep Without a Shepherd,6.7,112
The Money,5.5,118
Eorin uiroein,7.2,114
Bad Guys: The Movie,5.9,114
My Mom is a Character 3,7.4,111
Durj,6,110
Atlantis,6.4,106
The Painted Bird,7.3,169
Mask of Thorn,2.4,102
Shanghai Fortress,4.2,107
Kuntilanak 2,4.6,100
The Glass Room,5.4,104
Bicycle King Uhm Bok-Dong,4.7,118
Color Out of Space,6.4,111
WWE Hell in a Cell,4.8,197
The Farewell,7.7,100
The Criminal Man,6.2,135
63 Up,8.2,180
