Name,rating,time_min
Ninnu Veedani Needanu Nene,5.9,123
Digbhayam,9.4,107
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,7.3,100
Article 15,8.2,130
Mask,3.9,131
Sweethearts,6,107
Cats,2.8,110
Leap of Faith: William Friedkin on The Exorcist,6.9,104
Sangkar,7.4,112
Uyut,7.4,147
I Got the Hook Up 2,3.3,107
The SpongeBob Musical: Live on Stage!,8.1,114
Pain and Glory,7.7,113
The Chronicle Mysteries: Recovered,7.1,120
Prati Roju Pandaage,6.4,146
Chitralahari,7.1,131
Patterns of Evidence: Moses Controversy,8.1,140
Shanghai Fortress,4.2,107
Gutterbug,7.8,101
Between Me and My Mind,7.6,100
An Almost Ordinary Summer,6.5,100
Wedding Agreement,7.1,100
Chasing the Moon,8.6,360
The Song of Names,6.1,113
 The Last Drive-In with Joe Bob Briggs,8.2,144
Goalie,5.9,111
Jaddi Sardar,6.1,150
The Oscar Nominated Short Films 2019: Live Action,6.7,108
Gemini Man,5.7,117
Friends 25th: The One With The Anniversary,3.1,105
Armstrong,6.9,100
Love on the Menu,6.9,120
Kral Midas'in Hazinesi,5.5,103
100,6.6,141
 Country Music,8.3,114
Queen of Drags,6.4,100
The Dirty War on the National Health Service,7.6,106
Homme Fatale,6.2,110
Mask of Thorn,2.4,102
Little Women,8.3,135
Hayya: The Power of Love 2,4.9,101
Sher Dil,6.9,148
"Where'd You Go, Bernadette",6.5,109
Game Over,7.1,102
Hercai,7.2,120
Before the Dawn,6.1,105
The Sunlit Night,6.7,106
The August Virgin,6.9,125
WWE Survivor Series,7,205
Ispade Rajavum Idhaya Raniyum,6.4,141
Lisaa,3.4,111
The Accidental Prime Minister,6.1,112
Devarattam,4.1,140
Military Wives,7.1,110
The Truth,6.6,106
Gubbi Mele Bramhastra,5.2,143
Das perfekte Geheimnis,6.9,111
Swoon,6.1,104
The Body Remembers When the World Broke Open,6.7,105
Zeroes,8.3,104
Jade Dynasty,5.1,101
Out Stealing Horses,6.8,123
 Every Frame A Pause,8.4,337
Lahon W Habs,4.2,100
Kandasamys: The Wedding,7,127
Sea of Shadows,7.5,105
Nineteen Summers,5.5,118
Backdraft II,4.7,101
Motherless Brooklyn,7.1,144
Bijoya,7.2,145
Umakant Pandey Purush Ya,8.3,120
The Small Hand,4.1,115
Suttu Pidikka Utharavu,6.2,136
Faustina: Love and Mercy,6.2,107
Jessie,7.1,106
Bhai - Vyakti Ki Valli 2,8.3,130
Thirumanam,6.9,156
Mr. Local,3.1,155
Babysplitters,8.5,119
Antologi Rasa,7.2,108
Deep Evil,5,107
 The Last Drive-In with Joe Bob Briggs,9,147
Season of Love,8.1,105
Blochin: Das letzte Kapitel,6.4,105
Io sono Mia,7.1,100
Crown Vic,6.3,110
Pati Patni Aur Woh,6.1,126
Shibu,9.9,145
Mestari Cheng,7.3,114
Expedition Unknown: Egypt Live,8.3,120
Shantilal O Projapoti Rohoshyo,6.4,103
Alone/Together,7,103
June,7.4,141
Captive State,6,109
Toss It,6.1,115
Monster,6.8,139
 The Last Drive-In with Joe Bob Briggs,9,111
The Lady Improper,4.9,108
The Art of Racing in the Rain,7.5,109
Toni Morrison: The Pieces I Am,6.9,120
