Name,rating,time_min
Nineteen Summers,5.5,118
All Elite Wrestling: Fyter Fest,7.7,180
Marriage Story,8.1,137
Mr. & Ms. Rowdy,4.7,146
The Endless Trench,7.8,147
Queen of Hearts,7.3,127
Variações: Guardian Angel,7.4,109
Panther,5.6,127
Luce,6.8,109
Twivortiare,5.7,103
Tall Tales,7.3,112
Traumfabrik,6.3,125
Raja Vaaru Rani Gaaru,8.5,133
WWE: Extreme Rules,6.9,234
Ayushmanbava,7.4,145
Darlin',4.9,100
118,6.7,120
The Dirty War on the National Health Service,7.6,106
"Psychomagie, un art pour guérir",6.8,100
 20/20,7.6,120
