Name,rating,time_min
Bottom of the 9th,5.5,111
Convoy 48,5.6,125
"Sense, Sensibility & Snowmen",6.6,120
Doorbeen,5.7,126
M&M: The Mall The Merrier,2.5,123
Mokalik (Mechanic),6.7,100
Striker,7.8,122
After,5.4,105
1800 gramów,5.7,100
The Best of Enemies,7,133
Ulta,9.6,123
Utisak nedelje,9,120
The Art of Racing in the Rain,7.5,109
Rabid,5.1,107
The Journalist,6.4,113
Love Them All,5.3,100
Pilsudski,5.1,108
Against the Clock,2.5,102
Ghawre Bairey Aaj,7.4,146
Valley of the Gods,6.2,131
Three Days and a Life,6.6,120
"L-DK Hitotsu Yane no Shita, (Suki) ga Futatsu",6.9,107
Extracurricular,6.5,101
Trace of Blood,6.5,125
Hold On,7.9,106
Mantan Manten,7.5,102
Dabangg 3,3.9,160
Crazy Romance,6.7,115
Ke Tumi Nandini,6.8,138
Adults in the Room,5.8,124
Divine Love,6.3,101
Dream Girl,7.2,132
Krasue: Inhuman Kiss,6.6,122
The Brave,5,103
MBF: Man's Best Friend,4.6,129
The Goldfinch,6.2,149
The Least of These: The Graham Staines Story,6.3,112
Murder in the Bayou,7.2,272
Love Trilogy: Chained,7.5,112
Full Count,5.6,110
72 Hours: Martyr Who Never Died,5.3,130
Union Bound,3.9,103
Eggnoid: Love & Time Portal,6,102
Thai Curry,4.3,127
Measure for Measure,7.9,107
Suryakantham,5.6,139
Holiday Hearts,6.6,120
Dirty God,6.5,104
Happy Endings Sleepover,5.1,100
Top End Wedding,6.2,113
Unplanned,5.8,109
The Sacred Riana: Beginning,6.9,111
Crazy Alien,5.8,116
The Last,4.2,123
Io sono Mia,7.1,100
Raatchasi,7.3,134
Lost Transmissions,7.1,105
Descendants 3,6.7,106
Sharmaji Ki Lag Gai,4,122
How I Taught Myself to Be a Child,6.8,140
Forever in My Heart,6.4,120
The Yellow Night,6,100
The Sun Is Also a Star,5.7,100
Jeem Boom Bhaa,3.6,118
Spider in the Web,4.4,113
Depraved,5,114
Out of Liberty,4.5,111
Clemency,6.5,113
Conversations with a Killer: The Ted Bundy Tapes,7.8,236
An Almost Ordinary Summer,6.5,100
Oh Mercy!,6.2,119
Operation Gold Fish,6.2,127
Sita,4.8,161
Tell No One,8.6,121
9/11: Inside Air Force One,7.5,120
Where We Belong,7.4,130
4 Roses,8.1,100
Pelican Blood,5.9,121
Running with the Devil,5.4,100
Kingdom,6.9,134
Money Trap,6,121
Son-Mother,7.7,102
What Men Want,5.2,117
Die Toten Hosen - You Only Live Once,7.4,107
The Purple Mist,6.8,106
Children of the Sea,6.6,110
"Everton, Howard's Way",9.4,105
Kuzey Yildizi,7.3,120
Our Ladies,7.9,105
The Bravest,5.4,118
Bibaho Obhijaan,3.9,117
Gundala,7.5,123
Vijay Superum Pournamiyum,7.2,135
Soothrakkaran,4.5,147
Dem Horizont so nah,6.8,109
The Last Faust,5.5,107
Zeven Kleine Criminelen,8.7,200
Ishq,7.6,134
Turkish Ice-Cream,6.4,120
Bodhai Yeri Budhi Maari,6.7,124
