Name,rating,time_min
Wish Man,7.1,107
The Oscars,5.2,156
Joan of Arc,5.8,137
Christopher Titus: Amerigeddon,6.8,100
NXT UK TakeOver: Cardiff,8.2,181
Bau Na Vichaar,7.9,151
Han Dan,7.3,125
Darlin',4.9,100
Article 15,8.2,130
Gini Helida Kathe,9.2,138
Don't Let Go,6,103
Infernal Khorugv or Cossack Christmas,9,110
The Wonderland,6,116
Sweethearts,6,107
One Piece: Stampede,8.1,101
Canevim,4.8,120
Lucky Grandma,7.4,100
Mystify: Michael Hutchence,7.4,102
Janamaithri,6.4,122
All Elite Wrestling: All Out,8.3,180
Brochevarevarura,8,138
Between Pain and Amen,8.3,125
Die Toten Hosen - You Only Live Once,7.4,107
WWE Stomping Grounds,6.3,197
Shazam!,7.1,132
Before the Dawn,6.1,105
Kak ya stal russkim,4.4,100
The Lehman Trilogy,9,223
Yesterday,6.9,116
Kalki,4.7,141
System Crasher,8.1,118
Present Laughter,8.3,180
Burning Ghost,6.3,104
Romulus & Remus: The First King,6.7,123
Leaving Neverland,7,240
Kimse Bilmez,6.5,120
Gimyohan gajok,6.5,112
Wat Is Dan Liefde,7.1,103
Jade Dynasty,5.1,101
Helen,7.8,117
Curiosa,5.4,107
Rapid Eye Movement,4.2,108
Expedition Unknown: Egypt Live,8.3,120
Robocall,5.2,127
Simba,5.7,131
Vaarthakal Ithuvare,9.7,121
The Combination: Redemption,4.2,102
The Kid Who Would Be King,6,120
Danger Close,6.9,118
Chasani,8.5,143
"Mole de Olla, receta Original",6.5,105
What's My Name: Muhammad Ali,8.5,165
Puppy,5.2,109
Fagara,7.1,120
Venpa,9.1,146
Very Ralph,7,108
 Exhibit A,6.2,144
Valley of the Gods,6.2,131
Iron Fists and Kung Fu Kicks,6.7,107
The Professor and the Madman,7.3,124
Rush: Cinema Strangiato 2019,8.6,120
Breakdown Forest - Reise in den Abgrund,7.3,131
And All Their Men,7.5,108
NTR Kathanayakudu,5.7,169
The Preppy Murder: Death in Central Park,6.7,216
Until I Meet September's Love,6.4,106
Patham Classile Pranayam,9.5,121
American Criminal,7.6,100
You Shine in the Moonlight,6.7,101
Trhlina,5.6,111
The Art of Self-Defense,6.7,104
Only the Animals,6.5,117
Housefull 4,3.4,145
Vinci Da,7.3,117
Dancing Elephant,5.6,114
Takatak,6,144
An Officer and a Spy,7.3,132
Madre,7,128
Como Novio de Pueblo,5.4,121
Gemusetto Machu Picchu,7.9,257
Petromax,5.6,128
Prolonged Exposure,4.2,108
Bharat,5.4,150
In the Tall Grass,5.4,101
Their Lucky Stars,5,109
 The Last Drive-In with Joe Bob Briggs,8,126
Gaddalakonda Ganesh,6.9,130
Calm With Horses,7.2,101
The Translators,6.7,105
Toss It,6.1,115
Hell on the Border,5.6,106
Knives and Skin,5.2,111
Brother in Love,7.1,115
The Great Indian Escape,8.5,117
Queen of Drags,6.4,100
Once Upon a Time in London,6.3,111
X-Men: Dark Phoenix,5.8,113
Kruty 1918,6.5,110
The Fable,6.6,123
Bulbul,6.9,116
