Name,rating,time_min
Her Blue Sky,7,112
The Knight of Shadows: Between Yin and Yang,4.9,109
Kia and Cosmos,6.7,123
Warkop DKI Reborn,4.4,103
Who Killed Garrett Phillips?,7.5,186
The Blood of God,8.8,127
Upin & Ipin: The Lone Gibbon Kris,8,100
Goyenda Junior,6.6,117
Aadya Rathri,4.5,129
Man of Men,5.5,116
Light of My Life,6.6,119
Rose Plays Julie,6.8,100
Beers of Joy,8.4,118
Raju Gari Gadhi 3,7.3,122
Mio fratello rincorre i dinosauri,6.8,101
Technoboss,6.1,112
The Great War,3.6,108
Zeven Kleine Criminelen,8.7,200
Dancing Elephant,5.6,114
Beats,6.4,109
Love on the Menu,6.9,120
Shindisi,9,101
Uyare,8.1,125
Die Goldfische,6.6,111
Atlantics,6.8,106
The Shamer's Daughter 2 - The Serpent Gift,5.7,103
Disappearance at Clifton Hill,7,100
Çocuk,5,120
This Is Personal,6.1,105
Und tot bist Du - ein Schwarzwaldkrimi,5.9,180
Little Q,6.2,107
Blood & Flesh: The Reel Life & Ghastly Death of Al Adamson,7.5,100
Kuttymama,5.4,134
The Wall,6.4,300
Aakashaganga II,3.2,142
The Disappearance of Susan Cox Powell,7.3,240
Bala,7.7,133
Gumnaami,7.9,142
Advocate,7.2,114
The Collini Case,7.2,123
Martin Eden,7,129
Il grande spirito,6.6,113
After the Wedding,6.1,112
Kuessipan,7.4,117
The Nest,6.3,107
Immenhof - Das Abenteuer eines Sommers,5.8,105
Kavaludaari,8.1,143
Liberi di scegliere,6.2,126
Action,4.3,158
Nina Wu,6.5,102
American Criminal,7.6,100
Vaarthakal Ithuvare,9.7,121
Fortuna's Eye,6.4,111
Sound of Metal,6.6,130
Stained,3.3,102
The Only Mom,7.1,120
 Country Music,8.5,114
Jack & Daniel,4.7,156
Marjaavaan,3.9,152
Bakrid,7.4,121
Castle in the Ground,7.3,105
Babysplitters,8.5,119
Chasing Unicorns,7.2,108
Judy,7,118
Muklawa,5.9,112
Walk. Ride. Rodeo.,6.4,100
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.7,142
Band Vaaje,6.1,125
Ajvar,7.7,107
The Movies,7.9,120
Bring The Soul: The Movie,7.8,103
All Elite Wrestling: Fyter Fest,7.7,180
Noblemen,5.7,108
Tower of Silence,2.6,107
Lucifer,7.5,175
But Beautiful,6.8,116
Twelve Thousand,5,111
Top End Wedding,6.2,113
"I Was, I Am, I Will Be",7.3,120
Tevar,7.6,100
Rosebud,6,126
Magamuni,8,156
Zengin ve Yoksul,6.2,120
Eternal Code,6.3,105
Sampiyon,7.5,120
Chopsticks,6.4,100
Huisvrouwen bestaan niet 2,6.2,105
WWE: Clash of Champions,6.3,206
El Camino: A Breaking Bad Movie,7.4,122
Willow (Vrba),8,101
Late Night,6.5,102
Uyut,7.4,147
The Personal History of David Copperfield,5.6,119
Hareket Sekiz,7.7,110
The Other Side of Heaven 2: Fire of Faith,4.9,117
Android Kunjappan Ver 5.25,8.6,140
Leap of Faith: William Friedkin on The Exorcist,6.9,104
NXT TakeOver: Phoenix,8,156
Wine Country,5.4,103
Mudda 370 J&K,9.5,132
