Name,rating,time_min
Aquile Randagie,6,100
Cherry Blossoms and Demons,5.5,115
The Great War of Archimedes,6.9,130
 The Masked Singer,7.2,120
1964: O Brasil Entre Armas e Livros,7,127
Dilan 1991,6.7,121
Palau the Movie,4.6,120
Where We Belong,7.4,130
Maria's Paradise,6.4,110
School-Live!,5.7,101
Raju Gari Gadhi 3,7.3,122
The Tashkent Files,7.9,134
Verdict,6.7,126
Biography: The Trump Dynasty,6.4,258
Samurai Marathon 1855,6.3,103
 The Last Drive-In with Joe Bob Briggs,8.8,142
Maleficent: Mistress of Evil,6.8,119
The Dominican Dream,8,100
Elisa & Marcela,6.4,118
Jojo Rabbit,8,108
