Name,rating,time_min
iSmart Shankar,5.8,140
The Rising Hawk,7.7,135
The Rookies,3.8,113
Manikarnika: The Queen of Jhansi,6.4,148
The 3rd Eye 2,5.6,116
Native Son,5.6,104
Robert the Bruce,5.1,124
The Protector,5.3,126
Kolaigaran,7.2,109
Öndög,6.8,100
The Conquest of Siberia,5.6,108
Standing Up for Sunny,7.5,105
"Live Twice, Love Once",7.3,101
Aquile Randagie,6,100
Evim,7.6,120
The Intruder,5.5,102
Sillu Karuppatti,8.9,153
Bigil,7.1,179
Once Were Brothers: Robbie Robertson and the Band,6.7,100
I Am Woman,7.4,116
