Name,rating,time_min
Killer Reputation,4.8,120
Country Music: Live at the Ryman - A Concert Celebrating the Film by Ken Burns,8.6,115
Finals,7.8,122
Divaldo: O Mensageiro da Paz,8.6,119
Anandi Gopal,8.9,134
The Science of Fictions,6.6,106
The Art of Racing in the Rain,7.5,109
Marghe and her mother,6.9,101
Mithai,4.7,140
 Every Frame A Pause,8.5,227
 20/20,7.6,120
Leaving Afghanistan,5.6,113
De Libi,6.5,102
Kuessipan,7.4,117
The Accidental Prime Minister,6.1,112
1917,8.6,119
My Daughter's Ransom,5.4,120
More Beautiful for Having Been Broken,4.6,111
Kalank,3.7,166
June,7.4,141
Das perfekte Geheimnis,6.9,111
Hebe: The Brazilian Star,6.9,112
Another Cinema Snob Movie,6.3,109
A Resistance,5.3,105
Pilsudski,5.1,108
Sesinde Ask Var,5.3,145
Kalki,4.7,141
Shaft,6.4,111
Always Be My Maybe,6.8,101
Gorilla,4.6,128
C'è tempo,5.6,107
The Best Is Yet to Come,6.8,117
Radioflash,4.5,103
Gaddalakonda Ganesh,6.9,130
Disappearance at Clifton Hill,7,100
Bell Bottom,8.7,130
Software Sudheer,8.9,125
The Humorist,6.6,100
Ghawre Bairey Aaj,7.4,146
Above the Shadows,5.8,111
Abstruse,8.6,117
Tower of Silence,2.6,107
Saand Ki Aankh,8.5,146
Mr. & Ms. Rowdy,4.7,146
To the Stars,6.9,109
Witness,7.4,129
Tlamess,6.1,120
Restaurant from the Sky,7,126
Everybody's Everything,7,116
War of Art,7.4,102
Five Feet Apart,7.2,116
Mera Naam Shaji,4.6,134
Beats,7.3,101
Unschuldig,7.1,174
The Young Cannibals,3.6,100
As You Like It,4.4,101
Quiet Storm: The Ron Artest Story,7.6,116
Prathi Poovankozhi,9,102
Indak,8,117
Between Me and My Mind,7.6,100
Chasing the Moon,8.6,360
This is Not Berlin,6.8,115
After Met You,7.9,107
Amsterdam Vice,6.8,113
Sons of Rizk 2,7.4,103
On the Inside of a Military Dictatorship,6.7,110
Prassthanam,5.8,141
Who Killed Garrett Phillips?,7.5,186
The Lumber Baron,6,120
Virus,8.1,152
Valley of the Gods,6.2,131
Man of Men,5.5,116
Forgivness,7.7,104
A Long Goodbye,7,127
The Kitchen,5.3,102
Romulus & Remus: The First King,6.7,123
The Untold Story,5.5,104
Bad Girl,6.6,100
Kids on the Block,5.4,103
The Irishman,8.1,209
Naukar Vahuti Da,6.3,120
"Sick, Sick, Sick",5.2,104
Game Over,7.1,102
I Love You,4.9,122
Tunnelen,7,105
You Shine in the Moonlight,6.7,101
Crazy Alien,5.8,116
M/S Romantic,8.3,254
Sound! Euphonium the Movie - Our Promise: A Brand New Day,7.9,110
Enai Noki Paayum Thota,6,153
Manje Bistre 2,5.8,125
Kurier,5.6,114
The Reliant,4,140
90 Feet from Home,7.3,126
Cetto c'è senzadubbiamente,5.2,120
Solid Gold,5.5,140
Incitement,7.5,123
Black Widow,6.9,116
 The Bachelor,6,126
My Zoe,6.8,100
