Name,rating,time_min
The Last Faust,5.5,107
Jumanji: The Next Level,7,123
Be Happy!,3.4,105
Gli uomini d'oro,6.5,110
Ölü Yatirim,8.7,106
Non sono un assassino,5.7,110
The Trayvon Hoax: Unmasking the Witness Fraud that Divided America,6.4,120
Tremors,7,107
Judy,7,118
Isa Pa with Feelings,7.8,102
Ulta,9.6,123
NXT TakeOver: New York,9,196
The Report,7.2,119
Under World,6.1,160
Les Misérables: The Staged Concert,8.7,170
Rustum,5.5,128
Software Sudheer,8.9,125
Mudda 370 J&K,9.5,132
Shah Jahan Regency,6.4,156
Just Mercy,6.4,136
