Name,rating,time_min
Just a Stranger,7,117
The Witness,6.7,128
Das perfekte Geheimnis,6.9,111
Thaala,7.6,120
A Witness Out of the Blue,6,104
National Theatre Live: Small Island,8.7,210
Castle in the Ground,7.3,105
The Small Hand,4.1,115
Hot Gimmick: Girl Meets Boy,4.7,119
UFC 242: Khabib vs. Poirier,7.2,180
Hero,3.9,121
Under World,6.1,160
The Informer,6.5,113
Kardec,6.2,110
NXT TakeOver: New York,9,196
Johannes Pääsukese tõeline elu,5.9,104
Dogs Don't Wear Pants,7.3,105
Fly Me to the Saitama,6.7,106
Viswasam,6.7,153
Little Q,6.2,107
Saturday Fiction,5.7,126
Prathi Poovankozhi,9,102
True Justice: Bryan Stevenson's Fight for Equality,7.9,102
Hayya: The Power of Love 2,4.9,101
Mestari Cheng,7.3,114
Panther,5.6,127
Rogue Warfare,2.8,103
Cypher,9.6,130
"Bornodi Bhotiai: Love, by the River",8.7,120
Radioflash,4.5,103
Sunset Promise,8.2,105
Brecht,6.2,187
They Say Nothing Stays the Same,6.7,137
Heer Maan Ja,5.9,146
Khandaani Shafakhana,4.9,136
Convoy 48,5.6,125
The Sky Is Pink,7.4,143
Mi Amigo Alexis,5.1,100
First Cow,7.8,121
To the Ends of the Earth,6.6,120
Janamaithri,6.4,122
Unplanned,5.8,109
Detention,7.5,102
We Are Little Zombies,7.1,120
Kuppathu Raja,5.6,127
Gurkha,4.8,144
Oh Baby,7.4,161
Dev,4.8,157
Rabid,5.1,107
Little Joe,5.9,105
The Pickup Artist,7.6,111
House Owner,6.9,109
Bypass Road,6.3,137
Coward Hero,5,106
Ilayaraja,7.9,141
Se mi vuoi bene,5.3,100
Mathu Vadalara,8.5,130
Bharaate,5.6,166
Gli uomini d'oro,6.5,110
Özgür Dünya,2.3,122
Rayalaseema Love Story,7.4,154
Jackpot,5.3,142
3 from Hell,5.6,115
Teacher,7.1,100
Raja Vaaru Rani Gaaru,8.5,133
Joan of Arc,5.8,137
Tod eines Mädchens 2: Die verschwundene Familie,6.4,180
Negative Numbers,8.3,110
The Clown Prince,6.9,116
But Beautiful,6.8,116
Fortuner,7.1,131
Fate/stay night [Heaven's Feel] II. lost butterfly,7.8,117
Integrity,5.5,114
Agni Devi,5.2,103
Dert Bende,4.4,101
Kesari,7.4,150
 Country Music,8.7,111
Motichoor Chaknachoor,5.9,150
Barabbas,6,117
Guvercin,6,120
"Seven Worlds, One Planet",9.5,407
Rajdooth,6.9,130
Season of Love,8.1,105
Gorilla,4.6,128
The Spy,6.9,110
Native Son,5.6,104
Is She Raju?,4.9,155
Bana Bir Ask Sarkisi Söyle,8.3,116
Woodstock,7.6,106
Kanpuriye,6.3,103
Lonappante Mammodisa,5.9,136
The Chronicle Mysteries: Recovered,7.1,120
Kurier,5.6,114
Modern Day Slavery,9.1,110
Falaknuma Das,6.3,145
Ishq,7.6,134
Dilan 1991,6.7,121
The Silence of the White City,5.4,110
The Wild Goose Lake,6.9,113
Beers of Joy,8.4,118
