Name,rating,time_min
Tlamess,6.1,120
Mamangam,7.8,157
"Endings, Beginnings",6.1,110
Parey Hut Love,6.9,139
The Perfect Wedding,5.9,110
Love Action Drama,5.4,146
Mylene Farmer 2019 - The Film,8.5,134
Konttho,7.8,144
Beats,6.4,109
Oh Baby,7.4,161
Uncle,8,106
Gone with the Light,6.1,131
Men in Black: International,5.6,114
Thittam Poattu Thirudura Kootam,5.1,126
Tarpan: The Salvation,8.6,104
My Daughter's Ransom,5.4,120
Fagara,7.1,120
George Reddy,7.3,153
Antologi Rasa,7.2,108
I'm No Longer Here,7.4,105
