Name,rating,time_min
Finals,7.8,122
Arjun Suravaram,8,108
The Ruthless,6.3,111
Chernobyl,9.5,330
Firebrand,5.1,116
Thai Curry,4.3,127
"Extremely Wicked, Shockingly Evil and Vile",6.6,110
"Live Twice, Love Once",7.3,101
Parineeta,7.4,115
Coup 53,7.8,118
Why Cheat India,6,121
Chronology,6.2,117
Her Blue Sky,7,112
Mamangam,7.8,157
Connect,5.1,104
Godzilla: King of the Monsters,6.1,132
(Nie)znajomi,7.1,103
Und tot bist Du - ein Schwarzwaldkrimi,5.9,180
Teacher,7.1,100
A Holiday Boyfriend,5.2,105
Evaru,8.3,118
Sons of Denmark,6.6,123
American Factory,7.6,115
Paradise War: The Story of Bruno Manser,7.7,142
Bolden,5.6,108
Extreme Job,7.1,111
Ilayaraja,7.9,141
Mirreyes contra Godinez,5.2,109
Daniel,8.1,138
Theresa & Allison,8.2,120
Leap of Faith: William Friedkin on The Exorcist,6.9,104
Tall Girl,5.3,101
1964: O Brasil Entre Armas e Livros,7,127
Dhanusu Raasi Neyargalae,4.9,121
Ashfall,6.9,130
Earth,7.2,115
The Whistleblower,5.5,134
A Score to Settle,4.5,103
Bye,6.5,111
Bloodlust Beauty,5.6,116
LKG,6.9,124
Eternal Code,6.3,105
Sunset Promise,8.2,105
June,7.4,141
Io sono Mia,7.1,100
From Miyamoto To You,8.1,129
We Shall Not Die Now,8.3,150
The Rising Hawk,7.7,135
The Conquest of Siberia,5.6,108
Ahaa Re,8.5,150
Cliffs of Freedom,6.4,137
Network,8.2,140
Padmavyuhathile Abhimanyu,7.9,130
Namma Veettu Pillai,6.1,153
Luz,6.3,104
Krishna Rao Supermarket,6.5,149
No Fathers in Kashmir,7.5,108
The Warden,7.4,100
O Amor Dá Trabalho,5.9,100
Ash,9.3,104
Rakshasudu,8.4,122
Heimat is a Space in Time,7,218
The Oscars,5.2,156
Commando 3,6.1,133
Extraordinary: The Seeding,5.2,105
K-13,6.1,103
Vijayaba Kollaya,6.9,136
Badland,5.7,117
Dosti ke side effects,3.7,130
What if the Earth is Flat?,8.5,168
Saint Frances,7.2,106
Grrrb,8.2,240
Greed,5.7,104
Variações: Guardian Angel,7.4,109
Zhara,3.9,101
100% Kadhal,4.5,151
"Oh, Ramona!",4.9,109
Chopsticks,6.4,100
Rocca verändert die Welt,7.2,101
Sin,8.1,100
Mikhael,5,150
Christopher Titus: Amerigeddon,6.8,100
Finally Bhalobasha,6.6,114
Legacy in the Bones,6.6,119
Crossword Mysteries: A Puzzle to Die For,6.8,120
Flower Boy,8.9,106
The 61st Annual Grammy Awards,5.4,164
Crypto,5.6,105
The Protector,5.3,126
The Weasel's Tale,7.3,129
Dolemite Is My Name,7.3,118
This Is Personal,6.1,105
Chitralahari,7.1,131
The Hidden Track,5.1,138
The Story of Us,6.4,120
Marudhar Express,5.8,106
Tune in for Love,7.2,122
Rajdooth,6.9,130
 The Last Drive-In with Joe Bob Briggs,8.9,126
Gipsy Queen,7.4,117
