Name,rating,time_min
Crazy Romance,6.7,115
Australian Dream,7.1,105
The Sky Is Pink,7.4,143
Rush: Cinema Strangiato 2019,8.6,120
Cash Nexus,6.5,135
Never Grow Old,5.8,100
The Informer,6.5,113
Tlamess,6.1,120
The Captain,6,111
Long Live the King,5.5,118
The Personal History of David Copperfield,5.6,119
A Brother's Love,7,117
5 Is the Perfect Number,5.9,100
 Critical Role,8.1,224
Sathru,6.1,129
Mera Naam Shaji,4.6,134
Fortuner,7.1,131
 20/20,7.6,120
Agent Sai Srinivasa Athreya,8.5,148
Marne Bhi Do Yaaron,5.1,130
