Name,rating,time_min
Red Room,3.8,116
Vennila Kabaddi Kuzhu 2,5.2,142
Hope,8,126
Manson: Music From an Unsound Mind,7,104
The Kingmaker,7.3,101
 Transparent,6.5,102
Kruty 1918,6.5,110
Portrait of a Lady on Fire,8.3,121
Network,8.2,140
Wasp Network,5.3,123
Bana Bir Ask Sarkisi Söyle,8.3,116
Kakegurui,6.7,119
Alone/Together,7,103
A Brother's Love,7,117
The Dirt,7,107
Como Caído Del Cielo,6.3,112
Dhanusu Raasi Neyargalae,4.9,121
The Traitor,7.2,145
Daniel Isn't Real,6,100
The Lego Movie 2: The Second Part,6.6,107
Ganagandharvan,6.8,140
For Sama,8.7,100
An Officer and a Spy,7.3,132
The Big Shot,5.7,107
Kamma Rajyam Lo Kadapa Reddlu,5.8,153
Text,6.7,132
Vijay Superum Pournamiyum,7.2,135
The Operative,5.6,116
Sister of the Bride,6,120
Fast & Furious Presents: Hobbs & Shaw,6.5,137
Maharshi,7.3,176
Satellite Shankar,5.9,135
9/11: Inside Air Force One,7.5,120
 The Last Drive-In with Joe Bob Briggs,8.6,140
Water,2.8,100
Vourate Geitonoi,6.9,135
Marudhar Express,5.8,106
Bigil,7.1,179
Kaaviyyan,4.2,109
Ema,6.7,102
5th of July,3.8,100
Incitement,7.5,123
Il grande spirito,6.6,113
Mogra Phulaalaa,7.2,136
Gaddalakonda Ganesh,6.9,130
Kurier,5.6,114
4 Roses,8.1,100
 The Last Drive-In with Joe Bob Briggs,8.2,144
Liberté,4.7,132
Mithai,4.7,140
Adhyaksha In America,7,156
Why Cheat India,6,121
One Winter Night,6.4,130
Cypher,9.6,130
The Flowers of Evil,6.5,127
Panchatantra,5.7,138
Kesari,7.4,150
Ottam,7.7,120
"Faith, Hope & Love",6.6,106
Prime Day Concert 2019,9.4,120
Tolkien,6.8,112
Tlamess,6.1,120
Evvarikee Cheppoddu,7.4,133
The Directive,6.3,113
Kaka Ji,5.6,123
Badland,5.7,117
Beware of Children,7.9,157
Short Circuit,7.3,126
Dha Dha 87,4.1,142
Pharaoh's War,5.4,110
June,7.4,141
The Turkey Bowl,7.7,120
Mirreyes contra Godinez,5.2,109
El crack cero,7.4,122
Maria's Paradise,6.4,110
Is She Raju?,4.9,155
All Elite Wrestling: All Out,8.3,180
Last Christmas,6.6,103
" I'm a Celebrity, Get Me Out of Here!",6.5,104
Wat Is Dan Liefde,7.1,103
Once Were Brothers: Robbie Robertson and the Band,6.7,100
War of Art,7.4,102
Foxtrot Six,7,114
This Is Personal,6.1,105
Virus,8.1,152
The Sacred Riana: Beginning,6.9,111
Perfect Nanny,6.2,100
Unda,8.1,130
A Thin Line,8.5,104
 The Last Drive-In with Joe Bob Briggs,8,126
All About Yves,5.7,107
Miracle in Cell No. 7,7.5,120
My Stupid Dog,6.4,106
Student of the Year 2,2.5,146
(Nie)znajomi,7.1,103
Les Misérables: The Staged Concert,8.7,170
The Knight of Shadows: Between Yin and Yang,4.9,109
Little Joe,5.9,105
Gone by Dawn 2: Dead by Dusk,3.6,108
Dropa,3.9,101
