Name,rating,time_min
Kinky Boots: The Musical,8,135
When Hitler Stole Pink Rabbit,7.5,119
Pull,3,105
A City Called Macau,5.4,120
Extraordinary: The Seeding,5.2,105
La source,6.3,103
Adithya Varma,6.9,168
Legiony,5.2,140
Into the Labyrinth,6.2,130
Ardaas Karaan,9.1,140
Perfect Feet,7.6,101
A Walk with Grace,4.5,100
Parey Hut Love,6.9,139
Two Blue Stripes,8.1,113
Zalim Istanbul,6,120
Sefirin Kizi,6.4,120
Stitches,7.2,105
Sheep Without a Shepherd,6.7,112
The Sky Is Pink,7.4,143
A Dark-Dark Man,6.8,130
The Blackout,6.3,153
Friend Zone,7.3,118
Shadows of Sofia,5.4,119
Killerman,5.7,112
The Report,7.2,119
Survivor: Turkey - Greece,4.1,120
Upstarts,6.7,112
Ahaa Re,8.5,150
Jabariya Jodi,4.2,125
The 3rd Eye 2,5.6,116
Persecuted,6.8,102
Black Widow,6.9,116
Fraud Saiyaan,4.3,109
Soothrakkaran,4.5,147
Shantilal O Projapoti Rohoshyo,6.4,103
Crescendo,6.6,102
Portugal Não Está à Venda,4.6,120
Fighting with My Family,7.1,108
The Aeronauts,6.6,100
Earthquake Bird,5.9,107
Tek Yürek,7.6,120
Super Deluxe,8.4,176
Don't Let Go,6,103
Upin & Ipin: The Lone Gibbon Kris,8,100
Ulta,9.6,123
Saili,8.5,140
Umakant Pandey Purush Ya,8.3,120
Papicha,7.2,106
Jeritan Malam,6.7,119
Takatak,6,144
Wildlings,6.5,135
A Tale of Three Sisters,7.4,108
15 August,5.8,124
Sangathamizhan,3.5,147
Forgivness,7.7,104
The Juror,6.8,114
Native Son,5.6,104
Masquerade Hotel,6.3,133
Halston,6.7,105
Poliorkia,7.5,101
Bharaate,5.6,166
Crypto,5.6,105
Podhu Nalan Karudhi,4.5,119
"Berlin, I Love You",4.5,120
Asbury Park: Riot Redemption Rock 'n Roll,6.7,116
Pig Gene,4.4,103
The Door,6.6,110
Kanpuriye,6.3,103
The Big Shot,5.7,107
No One Saw a Thing,6.2,258
Badland,5.7,117
All Elite Wrestling: Dynamite,8.7,120
Mukherjee Dar Bou,7.9,127
Mamangam,7.8,157
Pharaoh's War,5.4,110
Thorati,7.8,128
Oru Yamandan Premakadha,5.5,165
Luz,6.3,104
Brother's Day,4.5,165
An Innocent Kiss,6.5,111
Placa de Acero,5.7,101
90 Feet from Home,7.3,126
Legacy in the Bones,6.6,119
Pilgrim's Progress,5.2,108
Tootsies & The Fake,6.1,109
Prolonged Exposure,4.2,108
Pooh: The Derrick Rose Story,9.1,100
ECCO,4.9,123
Vourate Geitonoi,6.9,135
Line of Descent,4.6,108
Madhaveeyam,6.4,137
Happy Hour,3.9,114
Their Lucky Stars,5,109
Sound! Euphonium the Movie - Our Promise: A Brand New Day,7.9,110
A Violent Separation,5.5,106
Anna,6.6,119
Padmavyuhathile Abhimanyu,7.9,130
F2: Fun and Frustration,6.3,148
Brittany Runs a Marathon,6.8,104
Little Love Song,6.8,123
