Name,rating,time_min
But Beautiful,6.8,116
"Everton, Howard's Way",9.4,105
Kakegurui,6.7,119
Somewhere Winter,5.7,125
The Cat and the Moon,5.4,114
Eurovision Song Contest Tel Aviv 2019,7.1,251
Human Lost,5.6,110
Dream Girl,7.2,132
Running with the Devil,5.4,100
Mayday Life,7.9,112
Pet Graveyard,5.8,100
12 Suicidal Teens,5.7,117
Ad Astra,6.7,123
Toni Morrison: The Pieces I Am,6.9,120
 The Unbridled Series,5,158
Crazy Alien,5.8,116
Kruty 1918,6.5,110
 All Elite Wrestling: Dynamite,7.7,100
Pahokee,7.9,110
American Factory,7.6,115
Cherry Blossoms and Demons,5.5,115
Mr. Majnu,6,145
Amundsen,6.3,125
And the Oskar Goes To..,7.4,124
Avengers: Endgame,8.5,181
Deathcember,6.8,145
Amigo de nadie,7,105
Pity the Lovers,7.8,105
Mei,6.2,130
Mask,3.9,131
My Great Grandfather,4.8,122
Varda by Agnès,7.9,115
Suryakantham,5.6,139
The Blackout,6.3,153
Bell Bottom,8.7,130
Love at Second Sight,7.1,117
The Kid,5.9,100
Gurkha,4.8,144
Evvarikee Cheppoddu,7.4,133
The Blue Elephant 2,8.6,130
Hercai,7.2,120
La source,6.3,103
WWE Crown Jewel,5.5,216
Saga of Tanya the Evil - The Movie,7.6,115
The August Virgin,6.9,125
Extraordinary: The Seeding,5.2,105
Room 37: The Mysterious Death of Johnny Thunders,4.2,100
The Wandering Earth,6,125
Iruttu,7.2,133
How to Train Your Dragon: The Hidden World,7.5,104
Olen suomalainen,6.5,113
One Night,6.9,123
The Report,7.2,119
Children of the Sea,6.6,110
 Every Frame A Pause,8.4,337
Venpa,9.1,146
Parineeta,7.4,115
Good Newwz,7.7,134
Whistleblower,6.9,119
Beware of Children,7.9,157
All Elite Wrestling: Double or Nothing,8.6,180
Lunana: A Yak in the Classroom,8.4,110
Our Planet,9.3,403
Jersey,8.6,157
Polityka,3.5,134
A Dog Barking at the Moon,6.1,107
Krishna Rao Supermarket,6.5,149
Hustlers,6.4,110
The Directive,6.3,113
Bumi Manusia,6.6,181
Ratnakar,6.9,116
In Search of Darkness,8.5,260
The Glass Room,5.4,104
"Hello, Love, Goodbye",7.6,118
706,5.3,120
Philophobia,8.2,125
Argentina Fans Kaattoorkadavu,4.8,140
 WWE Raw,6.2,180
Kousalya Krishnamurthy,8.3,149
Unschuldig,7.1,174
Pain and Glory,7.7,113
Game of Thrones: The Last Watch,7.2,114
Zengin ve Yoksul,6.2,120
Mister T.,6.4,103
Paharganj,5.2,108
War,6.6,154
Albert Pinto Ko Gussa Kyun Aata Hai?,5.1,100
System Crasher,8.1,118
Last Christmas,6.6,103
Ottam,7.7,120
Simba,5.7,131
Ardab Mutiyaran,7.2,138
Darlin',4.9,100
The Collini Case,7.2,123
My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,8.8,104
Finals,7.8,122
The Clerk,6.5,105
Twice The Dream,7.8,101
Goodbye Mother,8,106
Joni 75: A Birthday Celebration,7.7,128
