Name,rating,time_min
Annabelle Comes Home,5.9,106
Kuthoosi,5.4,134
Detention,7.5,102
Olimpia,6.9,120
Lisaa,3.4,111
Tristeza e Alegria na Vida das Girafas,7.7,109
Shubharathri,6.1,130
Hababam Sinifi Yeniden,2.2,106
Variações: Guardian Angel,7.4,109
Love Trilogy: Chained,7.5,112
Sister of the Bride,6,120
The Gandhi Murder,6.6,138
Perfect Nanny,6.2,100
Modern Day Slavery,9.1,110
De De Pyaar De,6.6,135
Satellite Shankar,5.9,135
Sheep Without a Shepherd,6.7,112
Restaurant from the Sky,7,126
A Place Called Hollywood,7.7,100
The Last Wish,5.5,107
Ash,9.3,104
Heer Maan Ja,5.9,146
Unbroken,9,110
Athiran,6.8,135
Text,6.7,132
Pattabhiraman,7.3,139
The Birdcatcher,4.7,100
Vikruthi,7.5,123
The Champion,6.6,105
High Note,4.6,129
Monster,6.8,139
Evvarikee Cheppoddu,7.4,133
One Night,6.9,123
A1,5,109
Are You Afraid of the Dark?,7.2,132
Diablo. The race for everything,4.3,106
Kardes Çocuklari,5,120
Adoring,6.7,108
The Clerk,6.5,105
Amsterdam Vice,6.8,113
Thipparaa Meesam (Telugu),6.6,152
The Gambinos,8.9,122
Soeurs d'armes,5.7,112
Pharaoh's War,5.4,110
Ferhat ile Sirin,7.3,120
Parasite,8.6,132
Mentalno razgibavanje,9.4,105
Metallica & San Francisco Symphony - S&M2,8.8,150
Twice The Dream,7.8,101
"Bornodi Bhotiai: Love, by the River",8.7,120
Organ,6.8,119
Intrigo: Dear Agnes,4.9,100
Come As You Are,8.2,106
Upstarts,6.7,112
Long Live the King,5.5,118
O fim do Mundo,6.9,107
Line of Descent,4.6,108
Uncut Gems,8,135
Antigone,8,109
Ip Man 4: The Finale,7.5,105
Our Planet,9.3,403
PM Narendra Modi,3.3,136
Au nom de la terre,6.8,103
 Exhibit A,6.6,144
Wedding Cha Shinema,7.4,137
A Sun,8.1,156
Once Upon a Time... in Hollywood,7.8,161
The Treasure 2,7.3,150
Oil in the Blood,6.2,130
Chorar de Rir,5.9,104
Ruler,4.4,130
2 Hours Love,7.6,150
The Sleepwalkers,6.4,107
Charlie Chaplin 2,3.7,128
Boi,4.8,110
Quick,7.2,122
Mudda 370 J&K,9.5,132
A Picture with Yuki,7.7,110
Lonappante Mammodisa,5.9,136
Madras Beats,7.6,131
"Tora-san, Wish You Were Here",7,115
A Dark-Dark Man,6.8,130
Wira,7.1,109
Scent of My Daughter,7.9,103
Neeyum Njanum,6.9,161
Queen of Drags,6.4,100
La lutte des classes,6,103
Hit Me Anyone One More Time!,6.4,127
Tall Girl,5.3,101
Portrait of a Lady on Fire,8.3,121
Shakira in Concert: El Dorado World Tour,8.6,122
Barcelona 1714,3.2,124
All Elite Wrestling: Dynamite,8.7,120
Kumanthong,6.2,100
Capital in the Twenty-First Century,7.1,103
Sakala Kalasala,7,132
Gundala,7.5,123
Tu me manques,7.5,105
Mathu Vadalara,8.5,130
Sky Raiders,8.5,103
