Name,rating,time_min
Sympathy for the Devil,8.5,100
The Directive,6.3,113
Neeya 2,3.2,125
Girlz,4.1,153
The Battle of Jangsari,5.9,104
Chemistry of Kariyappa,7.3,128
The Journalist,6.4,113
Rush: Cinema Strangiato 2019,8.6,120
Arest,7.6,126
The Turkey Bowl,7.7,120
438 Days,7.4,124
The Bygone,6.6,115
My Stupid Dog,6.4,106
Twice The Dream,7.8,101
Se mi vuoi bene,5.3,100
Ambili,7.1,140
"So Long, My Son",7.7,185
Love Them All,5.3,100
Cinayet Süsü,7.3,112
Soeurs d'armes,5.7,112
Matthias & Maxime,6.8,119
My Dear Liar,6.5,116
La boda de mi mejor amigo,3.9,109
Dha Dha 87,4.1,142
Flower Boy,8.9,106
My Online Valentine,7.3,102
Daniel,8.1,138
Nineteen Summers,5.5,118
Thirty,6.3,115
Just One More Kiss,7.3,100
Palau the Movie,4.6,120
West of Liberty,6.1,261
Jada,7.7,132
Thaala,7.6,120
Collision,6.8,117
Somewhere Winter,5.7,125
LKG,6.9,124
4 Roses,8.1,100
The Door,6.6,110
Saturday Fiction,5.7,126
Jaddi Sardar,6.1,150
Under World,6.1,160
Breakthrough,6.2,116
Slayer: The Repentless Killogy,6.8,131
Mindo Taseeldarni,6.2,121
Bharat,5.4,150
Parasite,8.6,132
Fortuner,7.1,131
NXT TakeOver: Toronto,8.2,180
 Exhibit A,6.2,144
Dolemite Is My Name,7.3,118
Angel Has Fallen,6.4,121
Soul Hunters,6.4,101
Bento Harassment,7.3,106
Panipat,6,165
No Manches Frida 2,3.9,102
Burra katha,5.2,150
Persecuted,6.8,102
What's My Name: Muhammad Ali,8.5,165
One Piece: Stampede,8.1,101
After Met You,7.9,107
Peter Lindbergh - Women's Stories,6.6,113
Raju Gari Gadhi 3,7.3,122
Durj,6,110
Lucifer,7.5,175
Kimse Bilmez,6.5,120
Lyrebird,7,117
Ferhat ile Sirin,7.3,120
The Climbers,5.3,125
Wish Man,7.1,107
The Big Shot,5.7,107
Driving Licence,7.7,135
 Survivor,7.6,114
Bauhaus,6.4,105
Brexit Behind Closed Doors,7.7,118
Eftyhia,8.2,123
SGT. Will Gardner,5.9,125
The Pickup Artist,7.6,111
"Spring, Again",6.5,104
Laiye Je Yaarian,7.7,117
Bijoya,7.2,145
Simba,5.7,131
Music Teacher,6.5,101
The Lady Improper,4.9,108
Ne Zha,7.7,110
Como si fuera la primera vez,3.3,109
The Whistleblower,5.5,134
Bicycle King Uhm Bok-Dong,4.7,118
Shakira in Concert: El Dorado World Tour,8.6,122
Manson: Music From an Unsound Mind,7,104
Invisible Life,8.1,139
Step Up China,3.4,100
Her Yerde Sen,6.5,120
The Immortal Wars: Resurgence,2.4,112
Fraud Saiyaan,4.3,109
Five Feet Apart,7.2,116
Butt Boy,8.1,100
Der letzte Bulle,5.7,100
Blochin: Das letzte Kapitel,6.4,105
The Collini Case,7.2,123
Long Live the King,5.5,118
Ottilie von Faber-Castell,6.5,182
This is Not Berlin,6.8,115
Officer Arjun Singh IPS,9,120
PM Narendra Modi,3.3,136
Eggnoid: Love & Time Portal,6,102
Break Free: Two People. Two Years. One Dream,5.4,125
Golden Youth,4.9,118
The Souvenir,6.5,120
Kanchana 3,4.2,164
 American Idol,8,128
 Critical Role,7.9,248
