Name,rating,time_min
The Cat and the Moon,5.4,114
Jumanji: The Next Level,7,123
Abou Leila,6,135
UFC 241: Cormier vs. Miocic,8.5,180
I Am Woman,7.4,116
Homeless Ashes,7.8,117
Eurovision Song Contest Tel Aviv 2019: Second Semi-Final,7.2,135
Jojo Rabbit,8,108
Season of Love,8.1,105
Hellboy,5.2,120
Alone/Together,7,103
Present Laughter,8.3,180
Ninnu Thalachi,7.9,138
Lady Winsley,6.3,100
Chain of Death,4.4,101
Kuzey Yildizi,7.3,120
The Secret Mission,6,135
The Ground Beneath My Feet,6.4,108
Kolaigaran,7.2,109
Saaho,5.3,170
Hailey Dean Mysteries: A Prescription for Murder,7.2,120
Love Under the Rainbow,6.6,120
Kempe Gowda 2,8,139
Official Secrets,7.3,112
All Elite Wrestling: Double or Nothing,8.6,180
 The Last Drive-In with Joe Bob Briggs,8.2,144
Waves,8,135
We Are Gold,6.2,100
Queen Marie of Romania,8,110
Mystery 101: Playing Dead,7.1,120
The Fighting Preacher,5.3,100
Parthenon,6.4,119
Konttho,7.8,144
Futro z misia,5.8,102
BTK: A Killer Among Us,6.9,120
Never Grow Old,5.8,100
NXT TakeOver: XXV,8.7,159
A Dog's Journey,7.4,109
 Every Frame A Pause,8.5,349
"I Was, I Am, I Will Be",7.3,120
Luz,6.3,104
Curiosa,5.4,107
Çok Güzel Hareketler 2.Kusak,6.6,120
Sharmaji Ki Lag Gai,4,122
A Very Country Wedding,5.7,120
WWE Money in the Bank,6.5,219
Wildlings,6.5,135
Kimse Bilmez,6.5,120
Kasablanka,6.6,105
Como Novio de Pueblo,5.4,121
We Are Legends,5.1,108
Woman,7.9,105
Our Ladies,7.9,105
Rip Up the Road,8.6,107
General,3.8,145
Bad Guys: The Movie,5.9,114
Damayanthi,9.6,161
The Oscars,5.2,156
The Days the Flowers Bloom,6.8,173
Kalki,4.7,141
"Extremely Wicked, Shockingly Evil and Vile",6.6,110
Line of Descent,4.6,108
No soy tu mami,4.8,108
The Son,4.7,106
Alex in Wonderland,8.1,136
 American Idol,6.8,127
Sevgili Geçmis,6.4,120
Operation Cobra,3.6,126
The Whistleblower,5.5,134
Thirty,6.3,115
Shesh Theke Shuru,4.7,140
Blame Game,6.2,105
Water,2.8,100
Secrets in the Sky: The Untold Story of Skunk Works,7.6,120
Scare Package,6.9,103
Chorar de Rir,5.9,104
Antologi Rasa,7.2,108
Mithai,4.7,140
Edakkad Battalion 06,5.7,111
Nalpathiyonnu,7.2,134
72 Hours: Martyr Who Never Died,5.3,130
From Miyamoto To You,8.1,129
The Unknown Saint,6.6,100
Alita: Battle Angel,7.3,122
Lucifer,7.5,175
Mera Naam Shaji,4.6,134
Odessa,6.2,130
Gli uomini d'oro,6.5,110
Brave Father Online: Our Story of Final Fantasy XIV,7.7,114
Half-Sister,6.6,105
U311 Cherkasy,7.9,102
Biography: Chris Farley - Anything for a Laugh,8.2,120
The Blonde One,7.9,108
Mathu Vadalara,8.5,130
Heimat is a Space in Time,7,218
The Edge of Democracy,7.4,121
The Sacrifice,6.2,135
 Country Music,8.5,112
Sheep Without a Shepherd,6.7,112
Baaji,7.1,132
