Name,rating,time_min
Halka,8.8,120
The Journalist,6.4,113
Listen to the Universe,6.9,119
Se mi vuoi bene,5.3,100
The Art of Self-Defense,6.7,104
Oray,6.6,100
The Edge of Democracy,7.4,121
George Reddy,7.3,153
The Last Black Man in San Francisco,7.4,121
A Girl Missing,6.7,111
Masquerade Hotel,6.3,133
BoBoiBoy Movie 2,7.9,120
Psychobitch,7.1,109
Break Free: Two People. Two Years. One Dream,5.4,125
Fan,9.5,145
Tennis Buddies,5.7,153
Scary Stories to Tell in the Dark,6.2,108
Yaanaa,5.3,158
"Seven Worlds, One Planet",9.5,407
Chasani,8.5,143
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,6.3,100
Special Actors,6.8,119
Armstrong,6.9,100
Mat Biec,7.5,117
Suttu Pidikka Utharavu,6.2,136
Where Does a Body End?,7.7,121
The Cat and the Moon,5.4,114
Argentina Fans Kaattoorkadavu,4.8,140
Pranaam,4.3,120
Nun's Deadly Confession,3.2,116
Network,8.2,140
Wie gut ist deine Beziehung?,5.7,111
Cirku Fluturues,4,115
The Rookies,3.8,113
Hailey Dean Mysteries: A Prescription for Murder,7.2,120
Earth's Great Rivers,8.4,180
Bolevoy porog,4.1,100
Don't Stop Me Now,6,100
Manje Bistre 2,5.8,125
Single 2,7.2,128
Inmate #1: The Rise of Danny Trejo,9.1,107
Ayogya,6.1,146
A City Called Macau,5.4,120
Are You Afraid of the Dark?,7.2,132
Chop Chop Chang: Operation C.H.I.M.P,8.1,101
My Best Summer,5.8,109
Beanpole,7.2,130
"Mole de Olla, receta Original",6.5,105
Parallel World Love Story,6,108
 Nova,7.2,112
Hero,6.8,164
Fall In Love At First Kiss,5.9,122
Hekimoglu,6.9,120
 Country Music,9,111
Meeku Maathrame Chepta,6.1,120
Virus,8.1,152
Saak,6.8,121
Red Bracelets: The Beginning,6.4,115
Escape from Raqqa,5.8,102
Swoon,6.1,104
Strastite Abiturientski,4.5,106
Line of Descent,4.6,108
Men in Black: International,5.6,114
1989 - A Spy Story,6.9,120
Goyenda Junior,6.6,117
Don't F**k with Cats: Hunting an Internet Killer,8.2,187
Runam,9.7,131
Family History,8.1,125
Capitani,8.5,312
Gurkha,4.8,144
The Farewell,7.7,100
Ghost,8.5,130
Muhabbet Krali,8.3,150
Mucize Ask,6.8,129
Batla House,7.3,146
Killer Reputation,4.8,120
Dirt Music,7,105
 American Experience,7.7,113
No. 7 Cherry Lane,5.2,125
An Officer and a Spy,7.3,132
Out Stealing Horses,6.8,123
The Two Popes,7.7,125
Gully Boy,8.2,153
Marighella,3,155
The 23,7.1,101
Devaki,6.9,129
Golden Youth,4.9,118
Singham,5.5,141
Kaappaan,6.5,166
Suursuz Ask,7.9,108
Sound! Euphonium the Movie - Our Promise: A Brand New Day,7.9,110
Sonchiriya,7.5,143
76th Golden Globe Awards,5.3,145
Pilgrim's Progress,5.2,108
The Truth,6.6,106
Finals,7.8,122
NTR Kathanayakudu,5.7,169
Conversations with a Killer: The Ted Bundy Tapes,7.8,236
Kousalya Krishnamurthy,8.3,149
Rush: Cinema Strangiato 2019,8.6,120
