Name,rating,time_min
WWE: Clash of Champions,6.3,206
The Angel of Auschwitz,2.3,101
Divine Love,6.3,101
Ratne Price Sa Kosara,9,107
Tritio Adhyay,8.9,105
The Longest Shot,5.3,125
Kurier,5.6,114
The Steed,9.1,110
Madras Beats,7.6,131
Bad Girl,6.6,100
Ich war noch niemals in New York,5.7,128
Advantages of Travelling by Train,7.1,103
Kardec,6.2,110
Blochin: Das letzte Kapitel,6.4,105
Jo Pil-ho: The Dawning Rage,6.2,127
Philophobia,8.2,125
Chasing the Dragon II: Wild Wild Bunch,5.8,101
Saga of Tanya the Evil - The Movie,7.6,115
 The Last Drive-In with Joe Bob Briggs,8.8,122
To the Stars,6.9,109
