Name,rating,time_min
Happy Death Day 2U,6.2,100
Friend Zone,7.3,118
Hoaxed,7.3,125
The Cat and the Moon,5.4,114
Tokyo Ghoul: 'S' (Tokyo guru 'S'),6.6,101
Ladrões de Tuta e Meia,5.4,106
WWE Money in the Bank,6.5,219
Dolceroma,5.7,105
100,6.6,141
Advocate,7.2,114
Sound! Euphonium the Movie - Our Promise: A Brand New Day,7.9,110
Just 6.5,7.9,131
Tremors,7,107
Kanne Kalaimane,6.4,128
Tell No One,8.6,121
Water,2.8,100
12 Suicidal Teens,5.7,117
Ich war noch niemals in New York,5.7,128
Present.Perfect.,6.7,124
The Purple Mist,6.8,106
Fourmi,6.6,105
Collision,6.8,117
Stained,3.3,102
Fanny Lye Deliver'd,7.8,112
The Dominican Dream,8,100
K-13,6.1,103
Tall Girl,5.3,101
Foxtrot Six,7,114
Stairs,6.5,100
Military Wives,7.1,110
Dengi Dengine,7.7,120
Motichoor Chaknachoor,5.9,150
Wrong No. 2,6.3,132
Where Does a Body End?,7.7,121
Grrrb,8.2,240
Blood Will Tell,6,113
Baby Dolls,7.2,127
The Obituary of Tunde Johnson,7.5,104
The Tashkent Files,7.9,134
Antigone,8,109
Mei,6.2,130
Descendants 3,6.7,106
Tunnelen,7,105
Waiting for the Barbarians,6.3,112
Jay and Silent Bob Reboot,6.4,105
Devarattam,4.1,140
Birbal Trilogy,8.7,163
Pacified,7.5,100
Oru Adaar Love,5.7,145
Cua lai vo bau,6.2,102
Imaginary Order,6.5,101
The Wild Goose Lake,6.9,113
Lunana: A Yak in the Classroom,8.4,110
Leaving Afghanistan,5.6,113
Rose Plays Julie,6.8,100
The Secret Men Club,6.6,105
The Translators,6.7,105
The Unknown Saint,6.6,100
Rip Up the Road,8.6,107
LKG,6.9,124
From Zero to I Love You,6.6,106
Kuzey Yildizi,7.3,120
This is Not Berlin,6.8,115
Invisible,7,102
Between Me and My Mind,7.6,100
WWE Stomping Grounds,6.3,197
The Professor and the Madman,7.3,124
The Battle of Jangsari,5.9,104
Antologi Rasa,7.2,108
A Dog's Journey,7.4,109
Huisvrouwen bestaan niet 2,6.2,105
Aame,6.3,143
Walk. Ride. Rodeo.,6.4,100
Cherry Blossoms and Demons,5.5,115
Cypher,9.6,130
Top End Wedding,6.2,113
Bailampudi,7.4,115
The Entity,6.1,114
A Dark-Dark Man,6.8,130
Off Course to China,4.9,104
Omar And Us,5.6,104
Trick,5,100
Parineeta,7.4,115
Svaha: The Sixth Finger,6.2,122
Malaal,5.7,153
