Name,rating,time_min
Teacher,7.1,100
Hero,6.8,164
Güzelligin Portresi,6.9,127
UFC 242: Khabib vs. Poirier,7.2,180
Native Son,5.6,104
The Dominican Dream,8,100
Adoring,6.7,108
Kalki,7.2,140
Legiony,5.2,140
Valley of the Gods,6.2,131
Paradise War: The Story of Bruno Manser,7.7,142
Rogue Warfare,2.8,103
The Movies,7.9,120
Chambal,7.5,112
Den inre cirkeln,6.4,360
Avane Srimannarayana,8.2,174
Charlie's Angels,4.1,118
The King,7.3,140
Me llevarás en ti,6.1,125
The Dead Don't Die,5.5,104
Chasing Unicorns,7.2,108
William Tecumseh Sherman: Beyond the March to the Sea,7.1,115
Dear Comrade,7.2,169
Leap of Faith: William Friedkin on The Exorcist,6.9,104
Roast José Castelo Branco,5,120
The Journalist,6.4,113
Gone by Dawn 2: Dead by Dusk,3.6,108
Agni Devi,5.2,103
"Cheer Up, Mr. Lee",7.2,111
This Is Not a Movie,7.5,106
Love Trilogy: Chained,7.5,112
Oru Yamandan Premakadha,5.5,165
Monos,7.3,102
Triggered,6.1,114
Woman,7.9,105
Spread Your Wings,7.4,113
Adhyaksha In America,7,156
 The Last Drive-In with Joe Bob Briggs,8.8,142
Palm Beach,5.6,100
The Dirty War on the National Health Service,7.6,106
Sefirin Kizi,6.4,120
Sher Dil,6.9,148
 The Last Drive-In with Joe Bob Briggs,8.2,144
Katha Sangama,8.4,156
Armstrong,6.9,100
Manmadhudu 2,4.8,155
 American Masters,8.6,115
Alice and the Mayor,6.6,103
Bir Ask Iki Hayat,6.2,106
Ich war noch niemals in New York,5.7,128
Zhagaram,6.6,113
Samurai Shifters,6.6,120
 Critical Role,8.1,224
 Nova,7.2,112
Leaving Afghanistan,5.6,113
Invisible Heroes,8,282
Gut gegen Nordwind,6.2,123
Pahokee,7.9,110
Kia and Cosmos,6.7,123
The Big Shot,5.7,107
Kholop,6.9,109
Blow It to Bits,6.9,109
Rahman 1400,4.7,111
Barcelona 1714,3.2,124
Marghe and her mother,6.9,101
Photograph,6.8,110
Annem,5,110
Kavaludaari,8.1,143
Winter After Winter,6.4,110
Baaji,7.1,132
Lakshmi's NTR,7.1,152
Futro z misia,5.8,102
A Long Goodbye,7,127
The 3rd Eye 2,5.6,116
From Miyamoto To You,8.1,129
Snow Flower,6.5,125
Sorry We Missed You,7.8,101
63 Up,8.2,180
Animals,6.2,109
Motherless Brooklyn,7.1,144
Last Christmas,6.6,103
Happy Endings Sleepover,5.1,100
What if the Earth is Flat?,8.5,168
Kabir Singh,7.2,173
Her Blue Sky,7,112
Terlalu Tampan,7.1,106
The Sacred Riana: Beginning,6.9,111
Saga of Tanya the Evil - The Movie,7.6,115
Invisible Life,8.1,139
The Money,5.5,118
Abigail,5.8,110
Long Shot,6.9,125
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,6.3,100
Robocall,5.2,127
Shantilal O Projapoti Rohoshyo,6.4,103
The Favorite,6.1,108
Rising Free,7.6,109
Nalpathiyonnu,7.2,134
Hero - Inspired by the Extraordinary Life & Times of Mr. Ulric Cross,8,111
99,6.2,144
