Name,rating,time_min
Kurulus: Osman,7.7,120
Diego Maradona,7.7,130
"L-DK Hitotsu Yane no Shita, (Suki) ga Futatsu",6.9,107
The Blue Elephant 2,8.6,130
Framing John DeLorean,6.4,109
Single 2,7.2,128
Sur Sapata,7.9,128
0.0 Mhz,4.6,101
Bypass Road,6.3,137
Cypher,9.6,130
Otherhood,6,100
Motherless Brooklyn,7.1,144
Bozkir Kuslara Bak Kuslara,3.5,115
Öndög,6.8,100
I Am Woman,7.4,116
iSmart Shankar,5.8,140
Petromax,5.6,128
Puppy,5.2,109
Don't F**k with Cats: Hunting an Internet Killer,8.2,187
Ye Re Ye Re Paisa 2,5.1,134
