Name,rating,time_min
Captain Marvel,6.9,123
The Painted Bird,7.3,169
My Name Is Sara,7.3,111
College Behind Bars,7.9,222
Persecuted,6.8,102
Windstorm 4: Ari's Arrival,5.6,102
The Sholay Girl,7.7,106
Annabelle Comes Home,5.9,106
In the Shadow of the Moon,6.2,115
WWE Money in the Bank,6.5,219
After the Wedding,6.1,112
Jada,7.7,132
Yesterday,6.9,116
Venpa,9.1,146
Zalim Istanbul,6,120
Eye for an Eye,6.9,107
When Hitler Stole Pink Rabbit,7.5,119
Mask of Thorn,2.4,102
Gemini Man,5.7,117
The 3rd Eye 2,5.6,116
An Almost Ordinary Summer,6.5,100
"Someone, Somewhere",6.9,110
Vourate Geitonoi,6.9,135
WWE Hell in a Cell,4.8,197
Tower of Silence,2.6,107
Secrets in the Sky: The Untold Story of Skunk Works,7.6,120
UFC 244: Masvidal vs. Diaz,7.7,180
A Thief's Daughter,6.4,102
Jojo Rabbit,8,108
The Cure: Anniversary 1978-2018 Live in Hyde Park,8.5,137
Thai Curry,4.3,127
Gumm,7.7,113
American Factory,7.6,115
The August Virgin,6.9,125
Tottaa Pataaka Item Maal,8,107
Rush: Cinema Strangiato 2019,8.6,120
National Street,6,100
Executions,3.4,100
Jiivi,7.9,122
The Last Thieves,8.2,109
Mucize Ask,6.8,129
Lonappante Mammodisa,5.9,136
Elisa & Marcela,6.4,118
Moonlit Winter,7.4,105
Wedding at Graceland,6,120
Ad Astra,6.7,123
The Viking War,5.8,103
The Gandhi Murder,6.6,138
Oh Baby,7.4,161
Belle Epoque,7.6,115
George Reddy,7.3,153
Don't Stop Me Now,6,100
Puppy,5.2,109
J'irai où tu iras,6.1,100
The Kindness of Strangers,5.4,112
Aame,6.3,143
Goalie,5.9,111
Metamorphosis,5.2,113
Hero - Inspired by the Extraordinary Life & Times of Mr. Ulric Cross,8,111
WWE Survivor Series,7,205
Eish Hayatak,5.3,110
No Manches Frida 2,3.9,102
The Secret Men Club,6.6,105
The Brave,5,103
Krishna Rao Supermarket,6.5,149
Como Novio de Pueblo,5.4,121
Resistance,6.8,122
Romeo Akbar Walter,6.5,141
The Art of Racing in the Rain,7.5,109
Lisaa,3.4,111
Sachin,3.6,137
Pasmerkti. Pajurio dziazas,6.3,102
WWE Stomping Grounds,6.3,197
Adults in the Room,5.8,124
Güzelligin Portresi,6.9,127
Terlalu Tampan,7.1,106
Why Cheat India,6,121
Network,8.2,140
Shoot the Moon,9.3,123
The Criminal Man,6.2,135
Get Her... If You Can,5.4,102
Kala Shah Kala,7.5,140
John Wick: Chapter 3 - Parabellum,7.5,131
Kesari,7.4,150
WWE: SummerSlam,6.6,208
118,6.7,120
Masal Satosu: Sihirli Davet,4.2,100
The Man Without Gravity,5.8,107
A Dog Barking at the Moon,6.1,107
Walk. Ride. Rodeo.,6.4,100
Forever in My Heart,6.4,120
Sweater,7.3,118
Martin Eden,7,129
Knives Out,8.1,130
Danger Close,6.9,118
Australian Dream,7.1,105
The Last,4.2,123
Pahokee,7.9,110
High Above,3.2,104
Sisters,5.1,105
