Name,rating,time_min
Driving Licence,7.7,135
While at War,7.4,107
More Beautiful for Having Been Broken,4.6,111
Five Feet Apart,7.2,116
LKG,6.9,124
Kakshi: Amminippilla,6.5,135
July Kaatril,6,162
Bombairiya,4.4,104
The Silence of the White City,5.4,110
Grrrb,8.2,240
A Dose of Happiness,8.5,100
Farewell Song,7.2,116
Rabid,5.1,107
Cheer Boys,6.5,118
Half-Sister,6.6,105
The Chronicle Mysteries: The Wrong Man,6.9,120
Sindhubaadh,5.1,133
The Naked Wanderer,5.9,101
Total Dhamaal,4.3,130
De Libi,6.5,102
