Name,rating,time_min
My Mom is a Character 3,7.4,111
Sangathamizhan,3.5,147
Cosmic Candy,5.7,100
Manoharam,7,122
4L,5.9,105
Running Against the Wind,9.4,116
Shelby American,7.5,119
The Least of These: The Graham Staines Story,6.3,112
Bombshell,6.7,109
WWE Hell in a Cell,4.8,197
Walpurgisnacht,6.1,180
Us,6.9,116
She's Missing,3.9,100
Running with the Devil,5.4,100
 Critical Role,8.1,224
But Beautiful,6.8,116
The Edge of Democracy,7.4,121
Give Me Liberty,7,110
Majiji,7.2,154
Gemusetto Machu Picchu,7.9,257
Shadows of Sofia,5.4,119
37 Seconds,7.8,115
Romeo Akbar Walter,6.5,141
System Crasher,8.1,118
Airaa,4.6,142
The Movies,7.9,120
NXT UK TakeOver: Cardiff,8.2,181
Iruttu,7.2,133
"Psychomagie, un art pour guérir",6.8,100
One Winter Night,6.4,130
Fighting with My Family,7.1,108
Love Under the Rainbow,6.6,120
MBF: Man's Best Friend,4.6,129
Blochin: Das letzte Kapitel,6.4,105
Saand Ki Aankh,8.5,146
Shankar Mudi,7.2,110
Sevgili Geçmis,6.4,120
Monos,7.3,102
Proxima,6.9,107
Sathru,6.1,129
Vantha Rajavathaan Varuven,3.8,154
Hitsville: The Making of Motown,8,112
Brave Father Online: Our Story of Final Fantasy XIV,7.7,114
Infernal Khorugv or Cossack Christmas,9,110
Room 37: The Mysterious Death of Johnny Thunders,4.2,100
Surkhi Bindi,7.7,128
Women of Mafia 2,4,138
Sefirin Kizi,6.4,120
U311 Cherkasy,7.9,102
Oleg,6.8,108
Turned Out,6.7,131
Masquerade Hotel,6.3,133
Dropa,3.9,101
Boomerang,5.6,120
The Shamer's Daughter 2 - The Serpent Gift,5.7,103
"Someone, Somewhere",6.9,110
Earthquake Bird,5.9,107
Hope Gap,7.3,100
High End Yaariyaan,5.7,121
Ek Ladki Ko Dekha Toh Aisa Laga,5.5,120
Me llevarás en ti,6.1,125
Madras Beats,7.6,131
Mantan Manten,7.5,102
Housefull 4,3.4,145
Lyrebird,7,117
Smile Please,7.8,132
Wie gut ist deine Beziehung?,5.7,111
Spread Your Wings,7.4,113
Tune in for Love,7.2,122
Kurukshetra,7.2,185
Swoon,6.1,104
Vinaya Vidheya Rama,3.3,146
Crazy Alien,5.8,116
Downton Abbey,7.5,122
The Chronicle Mysteries: Recovered,7.1,120
Capitani,8.5,312
The Directive,6.3,113
Hellaro,9,121
Thorati,7.8,128
Mucize Doktor,7.7,120
By Quantum Physics: A Nightlife Venture,6.5,120
Waiting For Howard Stern,7.4,119
Khayal Maata,5.1,125
Dirty Sexy Saint,8.2,104
Kruty 1918,6.5,110
Surviving R. Kelly: The Impact,6,120
Hailey Dean Mysteries: Death on Duty,7,120
SGT. Will Gardner,5.9,125
"A White, White Day",7.2,109
Sin,7,134
Born a King,7.8,103
Willow (Vrba),8,101
Ema,6.7,102
A City Called Macau,5.4,120
Mr. Jones,7.2,141
The Irishman,8.1,209
Puppy,5.2,109
 American Experience,7.7,113
Spider-Man: Far from Home,7.6,129
1994,8.3,251
