Name,rating,time_min
The Hidden Track,5.1,138
Takatak,6,144
Finding Julia,7.6,118
Il primo Natale,5.6,100
Hero - Inspired by the Extraordinary Life & Times of Mr. Ulric Cross,8,111
"Mektoub, My Love: Intermezzo",3.9,212
Long Shot,6.9,125
Mio fratello rincorre i dinosauri,6.8,101
Game Over,7.1,102
Bring The Soul: The Movie,7.8,103
Are You Afraid of the Dark?,7.2,132
You Deserve a Lover,6.3,102
Chasing the Moon,8.6,360
Kak ya stal russkim,4.4,100
Fanny Lye Deliver'd,7.8,112
Fast & Furious Presents: Hobbs & Shaw,6.5,137
Kimse Bilmez,6.5,120
Special Actors,6.8,119
Un'avventura,5.1,105
A Resistance,5.3,105
