Name,rating,time_min
The Sacrifice,6.2,135
Only Cloud Knows,6.2,132
When Hitler Stole Pink Rabbit,7.5,119
WWE Elimination Chamber,6.9,197
Mamangam,7.8,157
Tennis Buddies,5.7,153
Vitals,4.3,107
Revansch,8,100
Dert Bende,4.4,101
The Science of Fictions,6.6,106
The Silence of the White City,5.4,110
Dogs Don't Wear Pants,7.3,105
The Last Summer,5.5,109
My Name Is Sara,7.3,111
Io sono Mia,7.1,100
Margamkali,4.8,142
William Tecumseh Sherman: Beyond the March to the Sea,7.1,115
Shaft,6.4,111
143 Sahara Street,7.2,100
Clemency,6.5,113
