Name,rating,time_min
It Chapter Two,6.7,169
Proxima,6.9,107
Krishna Rao Supermarket,6.5,149
Coup 53,7.8,118
George Reddy,7.3,153
Shadaa,6.5,128
Sound of Metal,6.6,130
Dokyala Shot,8.9,122
Dirty Sexy Saint,8.2,104
Vinci Da,7.3,117
Atlantics,6.8,106
All Good Things,4.6,101
WWE Stomping Grounds,6.3,197
"So Long, My Son",7.7,185
The Knight of Shadows: Between Yin and Yang,4.9,109
Hailey Dean Mysteries: A Prescription for Murder,7.2,120
Johannes Pääsukese tõeline elu,5.9,104
Shaft,6.4,111
The Piketon Family Murders,6.3,120
Natpe Thunai,6.5,154
