Name,rating,time_min
"Oh, Ramona!",4.9,109
Verliefd op Cuba,4.9,105
Alone/Together,7,103
Vinaya Vidheya Rama,3.3,146
Earth,7.2,115
Weathering with You,7.8,114
Il primo Natale,5.6,100
Standing Up for Sunny,7.5,105
Frozen II,7.2,103
Kamma Rajyam Lo Kadapa Reddlu,5.8,153
"WWE TLC: Tables, Ladders & Chairs",5.6,192
Bolden,5.6,108
Daal Chaawal,7.1,120
Happy Hour,3.9,114
Planeta Singli 3,5.4,101
Oleg,6.8,108
Virus,8.1,152
X-Men: Dark Phoenix,5.8,113
Vojna akademija 5,6.8,120
Back Home,6,105
Sonchiriya,7.5,143
Saaho,5.3,170
"Someone, Somewhere",6.9,110
Ayogya,6.1,146
 Exhibit A,6.4,144
Lyrebird,7,117
Her Yerde Sen,6.5,120
Made in Abyss: Wandering Twilight,6.7,110
Yajamana,7.1,164
Queen Marie of Romania,8,110
The Goldfinch,6.2,149
Chhalawa,3.2,117
The Confession Killer,7.5,240
I Am Woman,7.4,116
Forever in My Heart,6.4,120
 Country Music,8.3,114
PM Narendra Modi,3.3,136
The Juror,6.8,114
True History of the Kelly Gang,6.6,124
A Long Goodbye,7,127
Strastite Abiturientski,4.5,106
How I Taught Myself to Be a Child,6.8,140
Rabb Da Radio 2,7.6,129
Between Me and My Mind,7.6,100
Happy Death Day 2U,6.2,100
The Art of Self-Defense,6.7,104
Only the Animals,6.5,117
The Balkan Line,6.7,130
Live Rescue,6,120
Split Lip,3.5,100
Where We Belong,7.4,130
Mope,6,105
 The Last Drive-In with Joe Bob Briggs,8.8,122
The Reformer. Zwingli: A Life's Portrait.,6.8,128
Love Action Drama,5.4,146
Enai Noki Paayum Thota,6,153
Bozkir Kuslara Bak Kuslara,3.5,115
 The Last Drive-In with Joe Bob Briggs,9,147
 Survivor,7.6,114
Yowis Ben 2,7.4,109
Measure for Measure,7.9,107
Legacy in the Bones,6.6,119
Samurai Shifters,6.6,120
Against the Clock,2.5,102
 All Elite Wrestling: Dynamite,7.7,100
Dulce Familia,4.6,101
Rama Chakkani Seetha,7.4,126
Relativity,6.9,111
Cypher,9.6,130
Billion,2.9,101
 Every Frame A Pause,7.6,273
Dogs Don't Wear Pants,7.3,105
Slugi wojny,5,110
Athiran,6.8,135
Ye Re Ye Re Paisa 2,5.1,134
Sigai,6.3,105
And Then We Danced,8.1,113
Miss Bala,5.7,104
Monos,7.3,102
Antigone,8,109
Organ,6.8,119
 Country Music,8.5,114
The Sacred Riana: Beginning,6.9,111
A City Called Macau,5.4,120
Twice The Dream,7.8,101
Knuckle City,7.2,124
Sheep Without a Shepherd,6.7,112
Chorar de Rir,5.9,104
Prathi Poovankozhi,9,102
Leap of Faith: William Friedkin on The Exorcist,6.9,104
NTR Kathanayakudu,5.7,169
Are You Proud?,5,100
Neeyum Njanum,6.9,161
You Deserve a Lover,6.3,102
My Great Grandfather,4.8,122
Vennila Kabaddi Kuzhu 2,5.2,142
Armstrong,6.9,100
Fahim,6.8,107
Eish Hayatak,5.3,110
Les Misérables,7.7,102
