Name,rating,time_min
Como si fuera la primera vez,3.3,109
The Tragedy of King Richard the Second,7.3,150
Thamaasha,7.9,120
In Search of the Dead,9.5,127
Amigo de nadie,7,105
Tenali Ramakrishna BA.BL,5.9,128
Miss Bala,5.7,104
Doraemon: Nobita's Chronicle of the Moon Exploration,6.7,111
Manmadhudu 2,4.8,155
Ruler,4.4,130
A Mero Hajur 3,6.1,125
Miss & Mrs. Cops,5.6,107
Hit Me Anyone One More Time!,6.4,127
Kaithi,8.6,145
Wine Country,5.4,103
The German Lesson,7.4,130
Blinded by the Light,6.9,118
Lorena,7.1,254
The Lehman Trilogy,9,223
Pooh: The Derrick Rose Story,9.1,100
Heavens to Betsy 2,6.6,110
The Garden of Evening Mists,7.5,120
 Every Frame A Pause,8.4,337
Why Cheat India,6,121
The Turkey Bowl,7.7,120
Tall Girl,5.3,101
Kanchanjangha,8.7,100
Darlin',4.9,100
The Blonde One,7.9,108
A Witness Out of the Blue,6,104
Woodstock,7.6,106
The Demonologist,5.9,100
Quick,7.2,122
 WWE Raw,6,180
Earth,7.2,115
The Shamer's Daughter 2 - The Serpent Gift,5.7,103
Homme Fatale,6.2,110
Bastaard,6.3,104
Official Secrets,7.3,112
Venky Mama,6.7,149
The Captain,6,111
Les Misérables: The Staged Concert,8.7,170
How to Build a Girl,6.2,102
Palau the Movie,4.6,120
Bombshell,6.7,109
Penalty,8.2,128
Dabangg 3,3.9,160
The Other Side of Heaven 2: Fire of Faith,4.9,117
0.0 Mhz,4.6,101
Secrets in the Sky: The Untold Story of Skunk Works,7.6,120
My Dear Assistant,6.3,113
Joni 75: A Birthday Celebration,7.7,128
Kholop,6.9,109
Uri: The Surgical Strike,8.4,138
Moonlit Winter,7.4,105
Blood Will Tell,6,113
Modern Day Slavery,9.1,110
Give Me Liberty,7,110
Khandaani Shafakhana,4.9,136
Nashibvaan,7.3,128
Alice and the Mayor,6.6,103
Wild League,5,111
Kataksha,7.6,100
Judgementall Hai Kya,6,121
Twice Upon a Time,6.2,192
Twivortiare,5.7,103
Junglee,5.3,115
The Devil Next Door,7.6,229
Les Misérables,7.7,102
Homecoming: A Film by Beyoncé,7.4,137
The Battle: Roar to Victory,5.3,135
See You Soon,4.8,107
Present Laughter,8.3,180
Amundsen,6.3,125
Bird Talk,5.5,138
Bad Guys: The Movie,5.9,114
Hope Gap,7.3,100
QT8: The First Eight,7.3,103
Chasani,8.5,143
A Midsummer Night's Dream,8.6,180
A Hairy Tale,6.4,100
The Legend of Hei,7,101
My Thoughts Are Silent,8.2,104
A Holiday Boyfriend,5.2,105
Sangkar,7.4,112
Blame Game,6.2,105
Kaalidas,7.2,126
Quero-te Tanto!,4.9,103
Eorin uiroein,7.2,114
Chandigarh Amritsar Chandigarh,7.6,107
K-13,6.1,103
Room 37: The Mysterious Death of Johnny Thunders,4.2,100
Hold On,7.9,106
 Survivor,7.6,114
Spider in the Web,4.4,113
Ad Astra,6.7,123
The Great War of Archimedes,6.9,130
O Amor Dá Trabalho,5.9,100
Heimat is a Space in Time,7,218
 20/20,7.6,120
