Name,rating,time_min
De Libi,6.5,102
Setters,5.1,126
Birthday,7,120
Shadaa,6.5,128
Animals,6.2,109
Burra katha,5.2,150
The Angel of Auschwitz,2.3,101
Only the Animals,6.5,117
Cheer Boys,6.5,118
Pengalila,8.8,111
Sangathamizhan,3.5,147
12 Suicidal Teens,5.7,117
Action,4.3,158
Farewell Song,7.2,116
Hearts and Bones,7.1,111
The Last Wish,5.5,107
Son-Mother,7.7,102
Kumbalangi Nights,8.6,135
Shanghai Fortress,4.2,107
Jeritan Malam,6.7,119
Hero,3.9,121
Blood & Flesh: The Reel Life & Ghastly Death of Al Adamson,7.5,100
Busby,6.7,102
Bird Talk,5.5,138
The Oscars,5.2,156
Nenjamundu Nermaiyundu Odu Raja,6.1,128
Water,2.8,100
Bhai - Vyakti Ki Valli,8.4,153
Calm With Horses,7.2,101
Kalavani 2,4.1,141
"Little Nights, Little Love",7.2,119
Roast José Castelo Branco,5,120
A Beautiful Day in the Neighborhood,7.7,109
Star Wars: Episode IX - The Rise of Skywalker,6.9,142
Christmas Jars,7.5,110
Como Novio de Pueblo,5.4,121
A Dose of Happiness,8.5,100
Intrigo: Samaria,5.4,104
Kolaigaran,7.2,109
Friends 25th: The One With The Anniversary,3.1,105
And Then We Danced,8.1,113
Bharat,5.4,150
Gemusetto Machu Picchu,7.9,257
Fate/stay night [Heaven's Feel] II. lost butterfly,7.8,117
Inmate #1: The Rise of Danny Trejo,9.1,107
Ghawre Bairey Aaj,7.4,146
Tony,3.3,109
Vivere,5.9,103
Togo,8.2,113
Cheat,6.7,181
 Every Frame A Pause,8.5,227
Coward Hero,5,106
 Survivor,7.6,114
His Father's Voice,5.4,105
Luca,7.6,151
The Lady Improper,4.9,108
Hailey Dean Mysteries: A Prescription for Murder,7.2,120
My Mom is a Character 3,7.4,111
Bring Me Home,6.6,108
Prathi Poovankozhi,9,102
Winter After Winter,6.4,110
Present Laughter,8.3,180
Australian Dream,7.1,105
Color Out of Space,6.4,111
Zeven Kleine Criminelen,8.7,200
Ghost Stories,4.2,144
The Protector,5.3,126
Detective Conan: The Fist of Blue Sapphire,6.2,110
Kruty 1918,6.5,110
The Shiny Shrimps,6.5,103
Jo Pil-ho: The Dawning Rage,6.2,127
"Faith, Hope & Love",6.6,106
Marne Bhi Do Yaaron,5.1,130
Kee,5.1,138
The Reformer. Zwingli: A Life's Portrait.,6.8,128
The Panti Sisters,7,108
The Man Without Gravity,5.8,107
Marianne & Leonard: Words of Love,6.9,102
The Song of Names,6.1,113
Heer Maan Ja,5.9,146
Sikander 2,8.2,131
Kaithi,8.6,145
Panther,5.6,127
The Gandhi Murder,6.6,138
Proxima,6.9,107
Chop Chop Chang: Operation C.H.I.M.P,8.1,101
The Money,5.5,118
Little Q,6.2,107
Motherless Brooklyn,7.1,144
The Demonologist,5.9,100
Katha Sangama,8.4,156
What if the Earth is Flat?,8.5,168
A Dog's Journey,7.4,109
The Inventor: Out for Blood in Silicon Valley,7.1,119
Backdraft II,4.7,101
Sesinde Ask Var,5.3,145
Aghavan,6.6,158
 WWE Smackdown!,6.4,120
Jeem Boom Bhaa,3.6,118
 30 for 30,7.6,102
