Name,rating,time_min
Natpuna Ennanu Theriyuma,5.8,123
Love Action Drama,5.4,146
The Unknown Saint,6.6,100
Thirumanam,6.9,156
Hasse & Tage - en kärlekshistoria,7.3,109
Everything But a Man,7.9,110
The Rising Hawk,7.7,135
Solid Gold,5.5,140
Cliffs of Freedom,6.4,137
 Country Music,8.4,139
The Obituary of Tunde Johnson,7.5,104
"Someone, Somewhere",6.9,110
The Great Hack,7,114
The Mystery of Henri Pick,6.7,100
My Dear Assistant,6.3,113
Escape from Raqqa,5.8,102
Terlalu Tampan,7.1,106
For Sama,8.7,100
The Faceless Man,5.1,106
Burra katha,5.2,150
