Name,rating,time_min
Teacher,7.1,100
Extracurricular,6.5,101
Sita,4.8,161
Mithila Makhaan,9,131
Drive,2.4,147
Chandigarh Amritsar Chandigarh,7.6,107
Son-Mother,7.7,102
De De Pyaar De,6.6,135
Sound of Metal,6.6,130
I Watched TV Show and Died from Blood,7.5,719
Non ci resta che il crimine,6,102
Venpa,9.1,146
Ye Re Ye Re Paisa 2,5.1,134
Cua lai vo bau,6.2,102
Wedding Cha Shinema,7.4,137
 The Bachelor,6,126
On the Inside of a Military Dictatorship,6.7,110
Otra Boda en Castañer,6.8,106
Her Blue Sky,7,112
Breakthrough,6.2,116
Breakdown Forest - Reise in den Abgrund,7.3,131
Kettiyollaanu Ente Maalakha,8,135
i1,8.9,120
Forever in My Heart,6.4,120
Elisa & Marcela,6.4,118
One Piece: Stampede,8.1,101
Rogue Warfare,2.8,103
The Wild Goose Lake,6.9,113
Happy Sardar,6.3,153
Tony,3.3,109
Tarpan: The Salvation,8.6,104
Why Cheat India,6,121
RDX Love,3.3,145
Hold On,7.9,106
Sky Raiders,8.5,103
The Unknown Saint,6.6,100
Menteur,6.6,111
House Arrest,5.6,104
Toy Story 4,7.9,100
Wine Country,5.4,103
Vojna akademija 5,6.8,120
"Seven Worlds, One Planet",9.5,407
The Panti Sisters,7,108
The Journalist,6.4,113
The Endless Trench,7.8,147
Irupathiyonnaam Noottaandu,3.6,163
RK Nagar,5.9,110
Zhagaram,6.6,113
Holiday Hell,4.2,100
Biography: Chris Farley - Anything for a Laugh,8.2,120
Shakira in Concert: El Dorado World Tour,8.6,122
Omar And Us,5.6,104
Their Lucky Stars,5,109
Killer Reputation,4.8,120
De Libi,6.5,102
Adithya Varma,6.9,168
Rate Your Date,5.4,110
Just 6.5,7.9,131
The Silence of the White City,5.4,110
Psychobitch,7.1,109
Johannes Pääsukese tõeline elu,5.9,104
100,6.6,141
Sangathamizhan,3.5,147
Synapses,6.9,116
Wrong No. 2,6.3,132
Polityka,3.5,134
The Corrupted,5.6,103
Fastey Fasaatey,5,119
Out Stealing Horses,6.8,123
Shazam!,7.1,132
Vijay Superum Pournamiyum,7.2,135
"God Exists, Her Name Is Petrunya",6.9,100
Men in Black: International,5.6,114
Kanchanjangha,8.7,100
The Miracle of the Sargasso Sea,5.7,121
Inmate Zero,6.9,106
The King,7.3,140
To the Stars,6.9,109
5 Is the Perfect Number,5.9,100
Khandaani Shafakhana,4.9,136
Tower of Silence,2.6,107
Rayalaseema Love Story,7.4,154
Dokyala Shot,8.9,122
Junglee,5.3,115
Sillu Karuppatti,8.9,153
Photograph,6.8,110
Kids on the Block,5.4,103
First Love,7.1,108
Kanne Kalaimane,6.4,128
Diner,6,117
18am Padi,6.2,160
Mask of Thorn,2.4,102
Windows on the World,8.4,107
Backdraft II,4.7,101
Bad Education,7.5,103
Badla,7.9,118
Heimat is a Space in Time,7,218
Özgür Dünya,2.3,122
Mr. Jones,7.2,141
Abigail,5.8,110
