Name,rating,time_min
The Gambler,5.7,121
The Song of Names,6.1,113
Satellite Shankar,5.9,135
Operation Cobra,3.6,126
Ruby Herring Mysteries: Her Last Breath,6.7,120
Ajvar,7.7,107
Muscle,7.6,110
India's Most Wanted,4.4,123
Mayday Life,7.9,112
Always Be My Maybe,6.8,101
The Halt,6.7,276
John Wick: Chapter 3 - Parabellum,7.5,131
Anna,6.6,119
Krishna Rao Supermarket,6.5,149
Agent Sai Srinivasa Athreya,8.5,148
Hero - Inspired by the Extraordinary Life & Times of Mr. Ulric Cross,8,111
ECCO,4.9,123
The Giant,5.5,100
Room 37: The Mysterious Death of Johnny Thunders,4.2,100
Schattenmoor,4.1,102
